,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,Name of Foreign Business,moodys32 affiliated German firm name,moodys32 notes,moodys32 mentions a subsidiary,moodys32 mentions stock ownership,moodys32 subsidiary is AG,moodys32 mentions an affilated company,moodys32 mentions a plant/office/branch,moodys32 is a subsidiary of a German firm,moodys32 other types of agreement,moodys34 affiliated German firm name,moodys34 reviewed_notes,moodys34 mentions a subsidiary,moodys34 mentions stock ownership,moodys34 subsidiary is AG,moodys34 mentions an affilated company,moodys34 mentions a plant/office/branch,moodys34 is a subsidiary of a German firm,moodys34 other types of agreement,tenenbaum affiliated German firm name,tenenbaum notes,tenenbaum mentions a subsidiary,tenenbaum mentions stock ownership,tenenbaum subsidiary is AG,tenenbaum mentions an affilated company,tenenbaum mentions a plant/office/branch,tenenbaum is a subsidiary of a German firm,tenenbaum other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
0,Addressograph-Multigraph Corporation,True,True,True,True,False,False,['Addressograph-Multigraph G.m.b.H.'],NA,"""Plant is located at Cleveland, Ohio, and its products are distributed throughout the United States, Canada, England, Germany, Central and South America and other foreign countries through five subsidiary companies, thirty two branches and fifty direct sales offices""",True,False,False,False,True,False,False,"Addressograph-Multigraph G.m.b.H., Berlin, Germany",,False,False,False,False,False,False,False,Addressograph Multigraph G.m.b.H.,"The ADDRESSOGRAPH -MULTIGRAPH CORPORATION owns 100% of the Addressograph -Multigraph G.m.b.H. , capital 1,000,000 RM, engaged in manufacture and distribution of their products.",True,False,False,False,False,False,False,,
1,Alta United Mines Co.,False,False,True,False,False,False,,,,,,,,,,,None,No subsidiary in German,False,False,False,False,False,False,False,,,,,,,,,,,
2,Aluminum Company of America,False,False,True,False,False,False,,,,,,,,,,,Magnesium Development Co.; I. G. Farbenindustrie A. G. of Germany,"""On Jan. 21, 1932 it was announced that company and the I. G. farbenindustrie A. G. of Germany had formed the Magnesium Development Co. to take over the patent rights of the two companies applying to the manufacture of magnesium alloys and utilized the technical knowledge and processes by both."" Not sure if Magnesium Development Co. is a German company though",False,False,False,False,False,False,True,,,,,,,,,,,
3,Amber Mines Inc.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Preussische Bergwerks- und Hutten Gesellschaft,"The PREUSSISCHE Bergwerks- UND HUTTEN GESELLSCHAFT owns 100 % the Amber Mines Inc. , capital $ 25,000 .",False,False,False,False,False,True,False,,
4,American -Austrian Magnesite Corporation,True,False,False,False,False,False,"['Deutsche Heraklith A.G.', 'Deutsche Heraklith A.G.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,American Askania Corp.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Askania Werke A. G.,"The ASKANIA WERKE A. G. owns outright the American Askania Corp. Houston Texas capital $10,000 engaged the sale the parent company's geological instruments used especially exploration for oil. The American Askania Corp. owns 95% the Askania Regulator Co. Chicago Illinois capital $50,000 while the other 5% is held by the Askania Werke A. G.",False,False,False,False,False,True,False,,
6,American Bemberg Corp.,False,True,True,False,False,False,,"Vereinigte Glansstoff-Fabriken AG , Elberfeld, Germany; J. P. Bemberg A.G.","""Bemberg artificial, silk in the United States under patents and processes exclusively owned by J. P. Bemberg A.G. in Germany. Acquired sole rights for the United State to all Bemberg patents and processes."" In Capital Stock: ""Unconditionally guaranteed as to dividends from July 1, 1926, to July 1, 1929, Jointly and severally by Vereinigte Glansstoff-Fabriken AG , Elberfeld, Germany, and J. P. Bemberg A.G., Barmen, Germany. Regular dividends paid J&J 1 to July 1, 1930, Ind.; none thereafter. """,False,False,False,False,False,True,False,J. P. Bemberg A. G. in Germany,Incorporated ... to manufacture Bemberg yarns in the United States under patents and processes exclusively owned by J. P. Bemberg A. G. in Germany. Acquired sole rights for the United States to all Bemberg patents and processes.,False,False,False,False,False,True,False,,,,,,,,,,,
7,American Can Company,False,True,True,False,False,False,,"Th. Goldschmidt of Essen, Germany","""For list of companies consolidated, see previous editions. In March, 1908, acquired an interest in the Sanitary Can Co. In connection with Th. Goldschmidt of Essen, Germany, Goldschmidt Detinning Co, (now Metal & Thermit Corp, which see), was organized. Latter operates a plant for detinning scrap. American Can Co. has contracted to sell this company its output of scrap for a term of yean. In Aug., 1925, acquired property of Central Bag Mfg. Co, located in Chicago for $600,000 cash. """,False,False,False,False,False,False,True,"Th. Goldschmidt of Essen, Germany; Metal & Thermit Corporation","with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output.",False,False,False,False,False,False,False,,,,,,,,,,,
8,American Cyanamid Company,True,False,False,False,False,False,['Farsals-Gesellschaft m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,American Foreign Insurance Association,True,False,False,False,False,False,['Great American Insurance Co. - Home Insurance Co. - Hartford Fire Insurance Co.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,American I. G. Chemical Corp.,False,False,True,True,False,False,,,,,,,,,,,I. G. Farbenindustrie A. G.,Judging from the name it is a subsidiary of I. G. Farben,False,False,False,False,False,True,False,I .G. Farbenindustrie,,False,False,False,False,False,True,False,,
11,"American Lurgu Company, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Metallgesellschaft A.G.,"The METALLGESELLSCHAFT A. G. owns the following American companies: Ore Chemical Corporation New York capital 200,000 engaged trade ores and metals and acting holding company; Pembroke Chemical Co. Florida phosphorus and phosphates producing concern; Revertex Corporation America New York capital 100,000 established for the sale of latex concentrates in North America",False,False,False,False,False,True,False,,
12,American Miag Corporation,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,"The ""Miag"" Muhlenbau und Industrie A.G. ",The MIAG MUHLENBAU UND INDUSTRIE A. G. owns in America the American Miag Corporation sales subsidiary.,False,False,False,False,False,True,False,,
13,American Nickel Alloy Mfg. Corp.,True,False,False,False,False,False,"['Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.', 'Nica Nickelindustrie A.G.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,American Radiator & Standard Sanitary Corporation,True,True,True,True,False,False,['Nationale Radiator Gesellschaft m.b.H.'],"Nationale Radiator Gesellschaft, m.b.H. (Germany), Berlin",,True,False,False,False,False,False,False,"Nationale Radiator Gesellschaft, m. b. H. (Germany), Berlin","in section ""European Affiliated Companies""",True,False,False,False,False,False,False,Nationale Radiator G.m.b.H.,"The AMERICAN RADIATOR AND STANDARD SANITARY CORPORATION own the Nationale Radiator G.m.b.H. , capital 16,000,000 RM ., and a Viennese limited partnership of the same name .",True,False,False,False,False,False,False,,
15,American Radiator & Standard Sanitary Corporation,True,True,True,True,False,False,['Nationale Radiator Gesellschaft m.b.H.'],"Nationale Radiator Gesellschaft, m.b.H. (Germany), Berlin",,True,False,False,False,False,False,False,Deutsche Standard Werke G. m. b. H.,"Plants of the Deutsche Standard Werke G. m. b. H., the company's German subsidiary, were completed and operation begun in Dec., 1929.",True,False,False,False,False,False,False,Nationale Radiator G.m.b.H.,"The AMERICAN RADIATOR AND STANDARD SANITARY CORPORATION own the Nationale Radiator G.m.b.H. , capital 16,000,000 RM ., and a Viennese limited partnership of the same name .",True,False,False,False,False,False,False,,
16,American Ship & Commerce Corp.,False,False,True,True,False,False,,,,,,,,,,,NA,"Stockholders voted July 23, 1926, to sell United American liners Resolute, Reliance and Cleveland, and capital stock of certain subsidiary and affiliated shipping corporations, to Hamburg-American Line.",False,False,False,False,False,False,False,Hamburg- Amerika Linie,"The AMERICAN SHIP AND COMMERCE CORPORATION (W. A. Harriman ) owned 10,000,000 RM . of non-voting shares in the Hamburg- Amerika Linie, capital 161,370,200 RM . Due to repeated reorganiza- tions of the latter, the present holdings cannot be accurately gauged .",False,True,False,False,False,False,False,,
17,American-Austrian Magnesite Corporation,True,False,False,False,False,False,['Alpenminen A. G.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Arden Investing Co.,True,False,False,False,False,False,['Elisabeth Arden G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Aris Cloves Co., Inc.",True,False,False,False,False,False,"['Steinberger Bros.', 'Steinberger Bros. Clove Corp. G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Armour & Company,True,False,False,False,False,False,"['Morris & Co. G.m.b.H.', 'Tietgens & Robertson (G.m.b.H.)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Associated Merchandising Corporation,True,False,False,False,False,False,['Associated Merchandising Corp. GmbH'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Associated Press,True,False,False,False,False,False,['Associated Press'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"B. F. Goodrich Rubber Co., Akron, Ohio",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Deutsche Goodrich Compagnie G.m.b.H.; Continale Cautchoucgesellschaft,"The B. F. GOODRICH RUBBER Co. , Akron , Ohio owns 100 % the International B. F. Goodrich Corporation , which owns the Deutsche Goodrich Compagnie G.m.b.II. ( 100,000 RM ) . In addition , the B. F. Goodrich Rubber Co. has a working agreement with the Continale Cautchoucgesellschaft .",True,False,False,False,False,False,False,,
24,Bakelite Corp.,False,False,True,False,False,False,,,,,,,,,,,Gorman Bakelite Corp. (Bakelite Gesellschaft),"Also owns an interest in Gorman Bakelite Corp. (Bakelite Gesellschaft), Germany...",False,True,False,False,False,False,False,,,,,,,,,,,
25,Bausch & Lomb Optical Co.,False,False,True,False,False,False,,,,,,,,,,,"Bausch & Lomb Optical Co., G.m.b.H., Frankfort a. M., Germany","The following are affiliated companies: ... Bausch & Lomb Optical Co., G.m.b.H., Frankfort a. M., Germany",False,False,False,True,True,False,False,,,,,,,,,,,
26,Bavarian oil and Gas Corporation,True,False,False,False,True,True,['Bayerische Mineral-Industrie A.G.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bayerische Mineral-Industrie Aktiengesellschaft'],['Bayerische Mineral-Industrie Aktiengesellschaft.']
27,Bedford Construction Co.,True,False,False,False,False,False,['Deutsche Maizena Werke A. G.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Berth, Levi & Co. Inc.",True,False,False,False,False,False,['The Overseas Casing Co. m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Blaw-Knox Co.,False,True,True,False,False,False,,"Blaw-Knox G.m.b.H., Dusseldorf, Germany","Company Is affiliated with Blaw-Knox, Ltd., Cowan Hulbert, Ltd, and Milliken Bros., Ltd, London, Eng., Compagnie Française Blaw-Knox, Parla, France, Blaw-Knox G.m.b.H., Dusseldorf, Germany, and Compagnia Itallana Forme Aceiaio, Milan, Italy.",False,False,False,True,True,False,False,"Blaw-Knox G.m.b.H., Dusseldorf, Germany","Company is affiliated with Blaw-Knox, Ltd., Cowan Hulbert, Ltd., and Millken Bros., Ltd., London, Eng., Compangie Francaise Blaw-Knox, Paris, France and Balw-Knox G.m.b.H., Dusseldorf, Germany.",False,False,False,True,True,False,False,,,,,,,,,,,
