page,block,line,x0,y0,x1,y1,text,keyword,page_right,firm_name,german_subsidiary,notes,US company name,US Company,affiliated German firm name,German subsidiary,reviewed_notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affiliated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement
176,25,5,74.65,410.171,524.0,421.87,"Together with Th. Goldschmidt of Essen, Germany, company organized Goldschmidt Detinning Co., (now Metal A Thermit ",German,176,AMERICAN CAN COMPANY,Goldschmidt Detinning Co. (now Metal & Thermit Corporation),"Incorporated under the laws of New Jersey March 19, 1901, as a consolidation of leading tin can factories in the United States. In March 1908, acquired an interest in Sanitary Can Co. and, with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output. In August 1926, acquired property of Central Bag Mfg. Co. Owns the entire capital stock of American Can Co. of Delaware (acquired January 1915). The American Can Co. of Utah (incorporated March 1916) was dissolved and its assets taken over by the present company January 1, 1928.",AMERICAN CAN COMPANY,American Can Company,"Th. Goldschmidt of Essen, Germany; Metal & Thermit Corporation",,"with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output.",False,False,False,False,False,False,False,False
176,25,5,74.65,410.171,524.0,421.87,"Together with Th. Goldschmidt of Essen, Germany, company organized Goldschmidt Detinning Co., (now Metal A Thermit ",German,176,AMERICAN CAN COMPANY,Goldschmidt Detinning Co. (now Metal & Thermit Corporation),"Incorporated under the laws of New Jersey March 19, 1901, as a consolidation of leading tin can factories in the United States. In March 1908, acquired an interest in Sanitary Can Co. and, with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output. In August 1926, acquired property of Central Bag Mfg. Co. Owns the entire capital stock of American Can Co. of Delaware (acquired January 1915). The American Can Co. of Utah (incorporated March 1916) was dissolved and its assets taken over by the present company January 1, 1928.",AMERICAN CAN COMPANY,American Can Company,"Th. Goldschmidt of Essen, Germany; Metal & Thermit Corporation",,"with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output.",False,False,False,False,False,False,False,False
305,74,1,305.3,75.673,524.2,86.974,German subsidiary which are subject to exchange restrictions ,German,305,ADDRESSOGRAPH-MULTIGRAPH CORP.,German subsidiary,"German subsidiary which are subject to exchange restrictions amounted to $220,398. Accounts certified by Arthur Andersen & Co. $26,194 capitalized during construction period. Included in sales profit. Earned Surplus Account Balance, Dec. 31, 1932, $2,951,107; add: increase in net current assets of foreign subsidiaries arising from conversion to dollar basis at rate of par, $168,469; cancellation of reserve for amortization of domestic patents, $40,360; total, $3,646,822; deduct: net loss for year, $332,499; deferred development expense written off, $529,643; miscellaneous patent rights written off, $11,351; provision for inventory obsolescence, $50,000; provision for bad debts, $100,000; dividends paid, $187,109; balance, Dec. 31, 1933, $2,386,220. Balance Sheet notes: After depreciation: 1933, $2,078,763; 1933, $2,516,386. Represented by shares at stated values: 1933, 746,813. Reduced to approximate assessed values in 1933; at book value in 1932. Less reserve, $33,394. Contingent Liability, Dec. 31, 1933, $1,583 for customers' notes discounted. Notes: Included in statement for 1933 are current assets ($1,937,769) and current liabilities ($1,174,814) of foreign subsidiaries converted on basis of par-of-exchange which was lower than rate prevailing at Dec. 31, 1933. Net current assets of foreign subsidiaries amounted to $762,955.",ADDRESSOGRAPH-MULTIGRAPH CORP.,Addressograph-Multigraph Corporation,"Addressograph-Multigraph G.m.b.H., Berlin, Germany",,,False,False,False,False,False,False,False,False
351,5,1,77.5,98.241,165.4,105.17,German factory (not ourr.) ,German,351,"Fownes Brothers & Co., Inc.","The document refers to a ""German factory"" and ""German accounts receivable"", implying a subsidiary or operations in Germany, but no specific names are provided.","Accounts certified by Patterson, Teele & Dennis. Bonded Debt: Secured by a first mortgage upon all fixed assets, including patents, etc., and two modern factories located at Amsterdam and Gloversville, N. Y. Company covenants to maintain at all times net quick assets equal to at least 50% of bonds outstanding. Issued to pay in part for the purchase of the American branch of the co-partnership sold to corporation. Issued, $500,000, of which $403,500 retired to Dec. 31, 1933. Pennsylvania State personal tax not exceeding four mills refunded. Company pays normal Federal income tax up to 2%. Capital Stock (8% preferred): Authorized, $59,400; outstanding, $4,000; par $100. Has first preference as to assets and dividends. Callable at par at any time on 30 days' notice. Last dividend paid Dec. 1, 1923. Company recapitalized in Sept. 1924, at which time $1,197,100 of 8% preferred was cancelled and a like amount of 5% non-cum. preferred issued. Accrued dividends unpaid amounted to $3,227, Dec. 31, 1933. Capital Stock (5% non-cum. preferred): Authorized, $1,440,600; outstanding, $1,192,100; par $100. Has second preference as to assets after 8% cum. preferred and 50% participation in remaining assets after common receives $100 per share. Not callable, but may be purchased from time to time. Unchanged for a like amount of 8% cum. preferred. No dividends paid. Capital Stock (common): Authorized and outstanding, 10,000 shares; no par. No dividends paid.","Fownes Brothers & Co., Inc.","Fownes Brothers & Co., Inc.",,,German factory appears in the balance sheet,False,False,False,False,False,True,False,False
375,34,4,303.1,117.6,525.2,131.5,acquired all capital stock of Berlin A Co. and Capital ,Berlin,375,Davega Stores Corp.,None mentioned.,"Incorporated in Delaware on June 12, 1928, as Atlas Stores Corp., and changed name to Davega Stores Corp. on April 27, 1932. The company acquired various other companies between 1928 and 1929, including Serlin & Co., Capital Radio Co. of Detroit, H. Lasser & Co., Cleveland, Davega, Inc., and City Radio Stores, Inc. Through its subsidiaries, it merchandises radio sets, accessories, sporting goods, electrical supplies, cameras, photographic equipment, and supplies. It operates retail stores in New York and Newark, and wholesale/mail order departments in New York and Chicago. Retail operations in Chicago were discontinued in 1933. In 1932, the company sold its interests in Cleveland, Cincinnati, and Detroit stores. In August 1932, Retails Stores Corp. was organized to reduce excess working capital. As of April 22, 1932, the company had about 1,000 employees.",Davega Stores Corp.,Davega Stores Corp.,None,,No subsidiary in German,False,False,False,False,False,False,False,False
393,36,9,230.4,339.529,380.7,352.93,"bion. Alta Germania, Jack Columbua ",German,393,ALTA UNITED MINES CO.,Alta Germania,"Incorporated in Utah. Owns property and interests in 34 separate companies, including Alta Germania. Operates in Big Cottonwood, Little Cottonwood, and American Fork mining districts, Utah. Properties include 184 lode mining claims (approx. 3,100 acres) and 9,100 shares of Alta Champion Mining Co. As of April 1, 1934, it had 6 employees.",ALTA UNITED MINES CO.,Alta United Mines Co.,None,,No subsidiary in German,False,False,False,False,False,False,False,False
404,9,13,69.1,620.5,220.025,634.598,"Faria Brussels, Amsterdam. Hamburg, ",Hamburg,404,MARKT & HAMMACHER CO.,Branch in Hamburg,"Incorporated December 18, 1908, under New Jersey laws, as a consolidation of Markt & Co., Ltd., and Hammacher, Dellius & Co. Founded in 1864, the company conducts a general export business worldwide through subsidiary and affiliated companies and branch houses. Principal commodities include tools, hardware, and machinery. Its office and warehouse are located at 193-195 West Street, New York. It maintains branches in London, Paris, Brussels, Amsterdam, Hamburg, Copenhagen, Oslo, Zurich, Milan, Genoa, and Lisbon, and operates agencies in other principal towns in Europe. M. J. Pulvermann, associated with Hamburg, Germany, is listed among its officers. The annual meeting is held on the third Wednesday in January in Hoboken, N. J.",MARKT & HAMMACHER CO.,Markt & Hammacher Co.,,,Branch in Hamburg,False,False,False,False,False,True,False,False
405,4,22,72.7,348.905,219.447,365.105,"and Berlin, Germany. Number of em­",German,405,Fenton Publishing Co. (OHM),"None explicitly named, but maintains an office in Berlin.","Incorporated in 1904 under Ohio laws, Fenton Publishing Co. publishes business and technical journals. It has subsidiaries including The Johnson Publishing Co. and The Fenton Publishing Co. Ltd. (London). The company owns property in Cleveland and maintains offices in various US cities, London, Birmingham, Paris, and Berlin, Germany. As of December 31, 1938, it had 188 employees.",Penton Publishing Co. (THE),Penton Publishing Co.,,,"The company owns property in Cleveland and maintains offices in various US cities, London, Birmingham, Paris, and Berlin, Germany. ",False,False,False,False,False,True,False,False
406,27,8,77.05,530.136,225.325,545.636,"Germany; Bakelite Corp, of Canada; ",German,406,BAKELITE CORP.,German Bakelite Corp. (Bakelite Gesellschaft),"Incorporated in Delaware Mar. 1922. Controls General Bakelite Co., Condensite Co. of America, Bakelite Corp. of W. Va. and Halowax Corp. Also owns an interest in German Bakelite Corp. (Bakelite Gesellschaft), Germany; Bakelite Corp. of Canada; Bakelite, Ltd., England, and Societa Italiana Bakelite, Italy.",BAKELITE CORP.,Bakelite Corp.,Gorman Bakelite Corp. (Bakelite Gesellschaft),Bakelite Gesellschaft,"Also owns an interest in Gorman Bakelite Corp. (Bakelite Gesellschaft), Germany...",True,True,False,True,False,False,False,False
407,3,18,74.9,192.719,163.175,202.51,Frankfort a M. Germany. ,German,407,BAUSCH & LOMB OPTICAL CO.,"B. & L. Optical Co., G.m.b.H., Frankfort a. M., Germany","Incorporated March 28, 1908, in New York, established 1853. Manufactures optical products including eyeglasses, microscopes, and lenses. Plant in Rochester, NY, with branches in New York and Chicago. Bonded debt is $1,400,000 (closely held). Capital stock includes $3,150,000 preferred (par $100, closely held) and $5,000,000 common (par $100, no close corporation). Stock transferred at company's office. Annual meeting is the Fourth Tuesday in March.",BAUSCH & LOMB OPTICAL CO.,Bausch & Lomb Optical Co.,"Bausch & Lomb Optical Co., G.m.b.H., Frankfort a. M., Germany",,"The following are affiliated companies: ... Bausch & Lomb Optical Co., G.m.b.H., Frankfort a. M., Germany",False,False,False,False,True,True,False,False
438,12,10,233.75,345.781,376.275,356.281,"Geaeral Oflleet *9* Hamburg Turnpike, ",Hamburg,438,Globe Steel Tubes Company,None mentioned in the provided text.,"Incorporated under Delaware laws in 1923, acquiring assets of its predecessor, Globe Seamless Steel Tubes Co., a Wisconsin corporation established in 1911. The company manufactures steel boiler tubes and mechanical tubing for various applications including locomotives, marine and stationary boilers, super heaters, and automobiles. Its plant covers approximately 37 acres in Milwaukee, Wis., with a monthly producing capacity of 4,500 tons. On Dec. 31, 1933, Globe Stainless Tube Co. was organized in Milwaukee to handle the manufacturing, designing, and selling of stainless steel tubes and tubular material. For the latest balance sheet, refer to the 1934 Manual.",Globe Steel Tubes Company,Globe Steel Tubes Company,None,,No subsidiary in German,False,False,False,False,False,False,False,False
442,78,19,379.2,610.809,530.125,626.608,"of Munich, Germany: Electrochemleal ",German,442,Buffalo Electro-Chemical Co. Inc.,"M. Merck of Munich, Germany","Incorporated under New York laws in 1920, Buffalo Electro-Chemical Co. Inc. manufactures electrochemical products at its plant in Buffalo, N.Y. The company's bonds are unconditionally guaranteed jointly and severally by M. Merck of Munich, Germany; Electrochemical Works of Aarau, Switzerland; and Hydrox Chemical Co. of Illinois.",Buffalo Electro-Chemical Co. Inc.,Buffalo Electro-Chemical Co.,"E. Merck of Munich, Germany; Electrochemical Works of Munich, Germany",,"Bonded Debt: ... Unconditionally guaranteed jointly and serveally as to principal and interest by E. Merck of Munich, Germany; Electrochemical Works of Munich, Germany; Electrochemical Works of Aarau Switzerland, and Hydrox Chemical Co. Illinois.",False,False,False,False,False,False,False,True
