,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,affiliated German firms,type_Partnership,type_branch,type_ownership,type_unknown,affiliated German firm name_moodys32,Master German firm name_moodys32,mentions a subsidiary_moodys32,mentions stock ownership_moodys32,subsidiary is AG_moodys32,subsidiary is GmbH_moodys32,mentions an affilated company_moodys32,mentions a plant/office/branch_moodys32,is a subsidiary of a German firm_moodys32,other types of agreement_moodys32,affiliated German firm name_moodys34,Master German firm name_moodys34,mentions a subsidiary_moodys34,mentions stock ownership_moodys34,subsidiary is AG_moodys34,subsidiary is GmbH_moodys34,mentions an affilated company_moodys34,mentions a plant/office/branch_moodys34,is a subsidiary of a German firm_moodys34,other types of agreement_moodys34,affiliated German firm name,Master German firm name,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
0,Addressograph-Multigraph Corporation,True,True,True,True,False,False,['Addressograph-Multigraph G.m.b.H.'],False,False,True,False,[''],[''],True,False,False,False,False,True,False,False,"['Addressograph-Multigraph G.m.b.H., Berlin, Germany']",[''],False,False,False,False,False,False,False,False,['Addressograph Multigraph G.m.b.H.'],['Addressograph-Multigraph G.m.b.H.'],True,False,False,True,False,False,False,False,,
1,Alta United Mines Co.,False,False,True,False,False,False,,,,,,,,,,,,,,,,['None'],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
2,Aluminum Company of America,False,False,True,False,False,False,,,,,,,,,,,,,,,,['Magnesium Development Co.; I. G. Farbenindustrie A. G. of Germany'],[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
3,Amber Mines Inc.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Preussische Bergwerks- und Hutten Gesellschaft'],[''],False,False,False,False,False,False,True,False,,
4,American -Austrian Magnesite Corporation,True,False,False,False,False,False,"['Deutsche Heraklith A.G.', 'Deutsche Heraklith A.G.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,American Askania Corp.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Askania Werke A. G.'],[''],False,False,False,False,False,False,True,False,,
6,American Bemberg Corp.,False,True,True,False,False,False,,,,,,"['Vereinigte Glansstoff-Fabriken AG , Elberfeld, Germany; J. P. Bemberg A.G.']",[''],False,False,False,False,False,False,True,False,['J. P. Bemberg A. G. in Germany'],[''],False,False,False,False,False,False,True,False,,,,,,,,,,,,
7,American Can Company,False,True,True,False,False,False,,,,,,"['Th. Goldschmidt of Essen, Germany']",[''],False,False,False,False,False,False,False,True,"['Th. Goldschmidt of Essen, Germany; Metal & Thermit Corporation', 'Th. Goldschmidt of Essen, Germany; Metal & Thermit Corporation']","['', '']",False,False,False,False,False,False,False,False,,,,,,,,,,,,
8,American Cyanamid Company,True,False,False,False,False,False,['Farsals-Gesellschaft m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,American Foreign Insurance Association,True,False,False,False,False,False,['Great American Insurance Co. - Home Insurance Co. - Hartford Fire Insurance Co.'],False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,American I. G. Chemical Corp.,False,False,True,True,False,False,,,,,,,,,,,,,,,,['I. G. Farbenindustrie A. G.'],[''],False,False,False,False,False,False,True,False,['I .G. Farbenindustrie'],[''],False,False,False,False,False,False,True,False,,
11,"American Lurgu Company, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Metallgesellschaft A.G.'],['Metallgesellschaft A.G.'],False,False,False,False,False,False,True,False,,
12,American Miag Corporation,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"['The ""Miag"" Muhlenbau und Industrie A.G. ']",[''],False,False,False,False,False,False,True,False,,
13,American Nickel Alloy Mfg. Corp.,True,False,False,False,False,False,"['Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.', 'Nica Nickelindustrie A.G.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,American Radiator & Standard Sanitary Corporation,True,True,True,True,False,False,['Nationale Radiator Gesellschaft m.b.H.'],False,False,True,False,"['Nationale Radiator Gesellschaft, m.b.H. (Germany), Berlin']",['Nationale Radiator Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,"['Nationale Radiator Gesellschaft, m. b. H. (Germany), Berlin', 'Deutsche Standard Werke G. m. b. H.']","['Nationale Radiator Gesellschaft m.b.H.', 'Deutsche Standard Werke G. m. b. H.']",True,False,False,True,False,False,False,False,['Nationale Radiator G.m.b.H.'],['Nationale Radiator Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,,
15,American Ship & Commerce Corp.,False,False,True,True,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,False,False,False,['Hamburg- Amerika Linie'],['Hamburg-Amerika Linie'],False,True,False,False,False,False,False,False,,
16,American-Austrian Magnesite Corporation,True,False,False,False,False,False,['Alpenminen A. G.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Arden Investing Co.,True,False,False,False,False,False,['Elisabeth Arden G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Aris Cloves Co., Inc.",True,False,False,False,False,False,"['Steinberger Bros.', 'Steinberger Bros. Clove Corp. G.m.b.H.']",False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Armour & Company,True,False,False,False,False,False,"['Morris & Co. G.m.b.H.', 'Tietgens & Robertson (G.m.b.H.)']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Associated Merchandising Corporation,True,False,False,False,False,False,['Associated Merchandising Corp. GmbH'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Associated Press,True,False,False,False,False,False,['Associated Press'],False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
