firm_id,firmname,page,section_title,text,US Location Mention,US-Resembling Company Name,Indicator of US Investment?,Reasoning,band,corrected firm name,Master name,US parent,US Company,Type of US ownership,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,US parent explicitly mentioned,Other indicators,Other indicators are strong,us-sounding name only
268,für Bergbau und Hüttenbetrieh.,331,Aufsichtsrat,"Aufsichtsrat: Vors.: Dr. Paul von Schwabach,  Berlin; Stellv.: Dir. Herbert M. Gutmann, Berlin;  sonst. Mitglieder: General-Dir. Dr.-Ing. e. h. Aloys  Czermak, Aussig; Gen.-Dir. Dr.-Ing. e. h. Friedrich  Flick, Berlin; Bankier Dr. Ernst Heinrich Heimann,  Breslau; Gen.-Dir. a. D. Willi. Henkel. Dresden; Gen.-  Konsul a. D. Eugen Landau, Berlin; Präsident Irving  Rossi (W. A. Harriman & Co.), New York; Max  Steiner (Hollandsche Bank voor de Middellandsche  Zee), Amsterdam; Dr. Bruno Bruhn, Berlin; Dir. Dr.  Karl Wolfgang Wiethaus, Berlin. Entwicklung:",Yes (New York),Yes (W. A. Harriman & Co.),Yes,"Explicit mention of 'New York' associated with an individual who is President of 'W. A. Harriman & Co.', indicating a link to a US entity.",91,"Vereinigte Königs- und Laurahütte, Actien-Gesellschaft für Bergbau und Hüttenbetrieb.",Vereinigte Königs- und Laurahütte,W. A. Harriman & Co.,"W. A. Harriman & Co., Inc., New York.",Director with US location,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,
310,"Deutsche Babcock & Wilcox-Dampfkessel-Werke, Actien-Gesellschaft.",377,Vorstand,"Vorstand: Dr.-Ing. e. h. Robert Jurenka (Ober­ hausen) . Auf sichtsrat: Vors.: Fabrikbes. Dr.-Ing. e. h.  Friedrich Kirchhoff (Iserlohn); Stellv.: Gen.-Konsul  Eugen T>andau (Berlin); sonst. Mitgl.: Geh. Reg.-R. Landrat a. D. Dr. Fritz Thomee (Altena i. Westf.), Fa-  brikbes. Dr. Georg Hahn (Berlin), Oberst J. H. M.  Greenly [Babcock & Wilcox Ltd.] (London), Min.-R.  a. D. Oberberghauptm. K. Schantz (B.-Charlottenburg),  Dipl.-Volks«-. Fabrikant Dr. Fritz Kirchhoff (Iserlohn). Entwicklung:",No,Yes (Babcock & Wilcox Ltd.),Yes,"No US locations mentioned. Mentions '[Babcock & Wilcox Ltd.]', which is a known US-based company with international operations (this entry specifically mentions the UK entity). The name strongly resembles a major US firm, indicating a potential link.",91,"Deutsche Babcock & Wilcox-Dampfkessel-Werke, Actien-Gesellschaft.",Deutsche Babcock & Wilcox Dampfkessel-Werke AG,Babcock & Wilcox ,The Babcock & Wilcox Company,US large shareholder,FALSE,FALSE,FALSE,FALSE,FALSE,,"Mentions '[Babcock & Wilcox Ltd.]', which is a known US-based company with international operations (this entry specifically mentions the UK entity). ",TRUE,
320,Linke-Hofmann-Busch-Werke Aktiengesellschaft. //,390,Vorstand,"Vorstand: Dr. phil. Robert Loewenstein. Auf sichtsrat: Rechtsanw. E. Wearing Wilson,  Philadelphia; Rieh. L. Binder, Philadelphia; Dr. L.  Fessel, Philadelphia.",Yes (Philadelphia),No,Yes,"Multiple individuals on the supervisory board are explicitly located in Philadelphia, USA. This is a strong indicator of US connection/investment.",91,Metallisator Berlin Aktiengesellschaft.,Metallisator Berlin Akt.-Ges.,Metals Coating Company of America in Philadelphia,Metals Coating Company of America,Director with US location,TRUE,FALSE,TRUE,FALSE,FALSE,,,FALSE,
446,Adam Opel Aktiengesellschaft.,481,Aufsichtsrat,"Aufsichtsrat: Vors.: Geh. Kommerz.-Rat Dr.-  Ing. e. h. Wilhelm von Opel, Wiesbaden; Stellv.: Fabri­ kant Dr.-Ing. e. li. Fritz Opel, Rüsselsheim; Stellv.:  Gen.-Dir. Ronald K. Evans, Alfred P. Sloan, Fred  Fisher, James D. Mooney, John Thomas Smith, Albert  Bradley, Charles Fisher.",No,Yes (Context - individuals),Yes,"Lists several individuals with distinctly American names (e.g., Alfred P. Sloan, associated with GM), strongly suggesting a connection to a US entity despite no US location being explicitly mentioned in this paragraph.",91,Adam Opel Aktiengesellschaft.,Adam Opel Aktiengesellschaft,General Motors,General Motors Corporation (Overseas Operations),US sounding names on boards,TRUE,TRUE,TRUE,TRUE,FALSE,,,FALSE,
493,Berliner Kraft- und Licht-Aktiengesellschaft. ,509,Aufsichtsrat,"Aufsichtsrat: Vors.: Kommissar. Bürgermeister  Dr. Oskar Maretzky (Berlin); Stellv.: Dr. Robert Frank  [Mitgl. des A.-R. der Preußischen Elektrizitäts-A.-G.]  (Berlin), Gen.-Konsul Dr. Werner Kehl (Berlin), Geh.  Reg.-Rat Dr. Wilhelm Lenzmann [Vors, des A.-R. der  Elektrowerke A.-G.] (Berlin), Dr. Oskar Oliven [Mitgl.  des Vorstandes der Ges. für elektr. Unternehm. Ludw.  Loewe & Co. A.-G.] (Berlin); sonst. Mitglieder: Präsi­ dent J. E. Aldred [International Power Securities Corpo­ ration] (New York), Henry M. Andrews (London), In­ genieur Rene Brosens [Soeietd Financiöre de Trans­ ports et d’Entreprises Industrielles Societe Anonyme  (Sofina)] (Brüssel), Dr. Max Brugger [Deleg. des Ver­ waltungsrates der Basler Handelsbank] (Basel), Bankier  Frederic R. Dolbeare (New York), Stadtverordneter Dr.  Karl Dorsch (Berlin), Staatskommissar Dipl.-Ing. Erwin  Fuchs (Berlin), Stadtverordneter Dr. Ludwig Glaser  (Berlin), Dannie N. Heinemann [Administrateur delegue  der Societe Financiere de Transports et d’Entreprises  Industrielles Societe Anonyme (Sofina)] (Brüssel), Mini­ sterialrat a. D. Wilhelm Heyden [Mitgl. des Vorst, der  Preußischen Elektrizitäts-A.-G.] (Berlin), William S.  Hülse [Chase Harris Forbes Corporation] (New York),  Dr. Otto Jeidels [Geschäftsinhaber der Berliner Handels-  Ges.] (Berlin), Stadtverordneter Karl Kasper (Berlin),  Staatsfinanzrat i. R. Franz Köbner (Berlin), Dr. Edgar  Landauer [Mitglied des Vorst, der Reichs-Kredit-Ges.  A.-G.] (Berlin), Rudolf Löb [Mitinhab. der Fa. Mendels­ sohn & Co.] (Berlin), Dr. Fritz Mannheimer [Mitinhaber  der Fa. Mendelssohn & Co.] (Amsterdam), Landeshau­ rat Dr.-Ing. e. h. August Menge [Vors, des Vorst, der  Elektrowerke A.-G.] (Berlin), Ministerialrat a. D. Dir.  Wilhelm Roemer [Nordwestdeutsche Kraftwerke A.-G.]  (Hamburg), Dr. Georg Rotzoll [Mitgl. des Vorst, der  Elektrowerke A.-G.] (Berlin). Stadtverordnetenvor­ steher Karl Spiewok (Berlin), Stadtkämmerer Dr. Karl  öteiniger (Berlin), Graf Guiseppe Volpi di Misurata,  Exzellenz (Vors, des Societä Nazionale per lo Sviluppo  delle Imprese elettriche in Italia] (Venedig). Siegmund  VVarburg [Mitinh. der Fa. M. Warburg & Co.] (Ham­ burg), Dr. Richard Wolfes [Mitgl. des Vorst, der Ges.  iur elektr. Unternehm. Ludw. Loewe & Co. A.-G.]  (Berlin). Entwicklung:",Yes (New York),"Yes (International Power Securities Corporation, Chase Harris Forbes Corporation)",Yes,"Lists US locations (New York) and US-based company names (International Power Securities Corporation, Chase Harris Forbes Corporation) as affiliations of individuals on the Supervisory Board, strongly indicating US investment or representation.",91,Berliner Kraft- und Licht-Aktiengesellschaft.,Berliner Kraft- und Licht-Aktiengesellschaft,Chase Harris Forbes Corporation,"Harris, Forbes & Co.",US large shareholder,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,
959,Allgemeine Transportmittel Aktiengesellschaft.,811,Aufsichtsrat,"Aufsichtsrat: Vors.: Gen.-Dir. Dr. Friedrich  Eichberg, Berlin; Max Epstein (General American Trans­ portation Corporation), Chicago; Präs. Adolphe Stoclet  (Compagnie Auxiliaire Internationale de chemins de fer), Dir. Victor Caspers (Compagnie Auxiliaire Inter­ nationale de chemins de fer), Brüssel; Gen.-Dir. J. F.  Drake (Gulf Oil Corporation of Pennsylvania), Pitts­ burgh; Vice-Gouverneur Alexandre Galopin (Societe  Generale de Belgique), Brüssel; Gen.-Dir. P. G. Jenks (Pullman-Standard Car Export Corporation), New York;  Gen.-Dir. Dr. Otto Oesterlen (Linke-Hofmann-Busch-  Werke A.-G.), Breslau; Gen.-Dir. Lester N. Selig (Gene­ ral American Transportation Corporation), Chicago.","Yes (Chicago, Pittsburgh, New York)","Yes (General American Transportation Corporation, Gulf Oil Corporation of Pennsylvania, Pullman-Standard Car Export Corporation)",Yes,"The list of the Supervisory Board (Aufsichtsrat) includes individuals explicitly linked to US companies ('General American Transportation Corporation', 'Gulf Oil Corporation of Pennsylvania', 'Pullman-Standard Car Export Corporation') and US cities (Chicago, Pittsburgh, New York). This is a strong indicator of US representation on the board, suggesting US investment or significant business ties.",91,Allgemeine Transportmittel Aktiengesellschaft.,Allgemeine Transportmittel Aktiengesellschaft,General American Transportation Corporation,General American Tank Car Corp ,US large shareholder,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,
1520,Ch. Eitingon Aktiengesellschaft.,1255,Aufsichtsrat,"Aufsichtsrat: Motty Eitingon, New York; Konsul  Martin Lentschner, Justizrat Dr. Martin Drucker,  Leipzig.",Yes (New York),No,Yes,"Explicit US location ""New York"" linked to a person in the Aufsichtsrat. Includes the location Leipzig.",91,Ch. Eitingon Aktiengesellschaft.,Ch. Eitingon AG,Eitingon,"Eitingon Schild Co., Inc.",Director with US location,FALSE,FALSE,TRUE,FALSE,FALSE,,Purpose: Trading in all types of tobacco products. The company was reorganized in 1932 based on an agreement with the banks and the New York parent company.,TRUE,
1540,Iduna Holding Aktiengesellschaft.,1263,Großaktionär,Großaktionäre: Rossia International Corporation  in Hartford-Conn. (U.S.A.).,Yes (Hartford),Weak (Rossia International Corporation),Yes,Explicit US location (Hartford-Conn U.S.A.) is mentioned in relation to 'Rossia International Corporation' as a major shareholder.  'International Corporation' is a common suffix in US company names.,91,Iduna Holding Aktiengesellschaft.,Iduna Holding Aktiengesellschatt,Rossia International Corporation in Hartford-Conn. (U.S.A.).,Rossia International Corporation,US large shareholder,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
1604,Commercial Investment Trust Aktien-Gesellschaft (Gitag).,1302,Aufsichtsrat,"Aufsichtsrat: Vors.: Präsident Henry Ittleson;  Stellv. Bankier Siegfried Bieber, Bankier Dr. Paul  Wallich, Reichsminister a. D. Hans v. Raumer, Berlin;  Bankier Henry Goldman, Claude L. Hemphill, New York.",Yes (New York),No,Yes,"Explicit US location 'New York' and US individual and title listed: Claude L. Hemphill, New York.",91,Commercial Investment Trust Aktien-Gesellschaft (Gitag).,Commercial Investment Trust Akt.-Ges. (Citag),Commercial Investment Trust Corp. in New York,Commercial Investment Trust Corp.,Director with US location,TRUE,FALSE,TRUE,FALSE,FALSE,,,FALSE,
578,Europäische Titeflex Metallschlauch-Aktiengesellschaft.,532,Aufsichtsrat,"Aufsichtsrat: C. W. Fletcher, Präsident der  Titeflex Metal Hose Co., NewaTk N.J. (U.S,A.); Albert  Friedmann, Präsident der Denes & Friedmann A.-G.,  Wien; Eduard Denes, Verwalt.-Rat der Denes & Fried­ mann A.-G., Wien.","Yes (Newark, NJ)",Weak/No (Titeflex Metal Hose Co.),Yes,"Explicit US location ""Newark, NJ"" is given for the president of Titeflex Metal Hose Co. Also references Friedmann A.-G., Wien which appears to be a foreign entity with ties to a person in the US.",92,Europäische Titeflex Metallschlauch-Aktiengesellschaft.,Europäische Titeflex Metallschlauch-Aktiengesellschaft,"Titeflex Metal Hose Co., Newark N. J. (U.S,A.)",Titeflex Metal Hose Co.,US large shareholder,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,
