page,text,column,US company name,US Company,affiliated German firm name,Master German firm name,section,notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,Gemini_firm_name,Gemini_german_subsidiary,Gemini_notes
238,"burg, Germany. GENERAL AunrrcB: Christian Djorup. AN­",center,CENTRAL AMERICAN PLANTATIONS CORP.,Central American Plantations Corp.,,,Management,"An officer is based in Hamburg, Germany. No subsidiary or agreements are mentioned.",False,False,False,False,False,False,False,False,CARPENTER STEEL CO (THE),None explicitly mentioned for this firm.,"Incorporated in New Jersey on Nov. 4, 1904, manufacturing and selling steel and wire with a plant in Reading, Pa. The company maintains 6 warehouses and 12 sales branches, with an annual capacity of 36,000 tons. Its former subsidiary, Reading Fire Brick Works, McHose & Co., was liquidated in 1931. As of Dec. 31, 1931, it had 980 employees. CAR-PENW CO., an investment company incorporated in Delaware in 1929, is related through a financial reorganization plan approved in 1930. Management details including officers, directors, auditors, and counsel are provided, with general offices in Reading, Pa., and corporate offices in Jersey City, N. J."
386,"Stuttgart, Germany; Tokio, Japan. Number of employees, ",right,CARRIER CORPORATION,Carrier Corporation,Carrier Lufttechnische Gesellschaft,Carrier Lufttechnische Gesellschaft,Description,"""Plants and laboratories of its subsidiaries and affiliates are located in Newark, N. J.; Bridgeport, Pa.; New Brunswick, N. J.; Allentown, Pa.: Chicago, Ill.; London, Eng.; Stuttgart, Germany; Tokio, Japan. "" ""Affiliated companies: ..., Carrier Lufttechnische Gesellschaft, Berlin, Germany, ...""",False,False,False,False,True,True,False,False,CARRIER CORPORATION,Carrier Luft-technische Gesellschaft,"Consolidated net profit for 6 months to Dec. 31, 1931 amounted to $51,888, equivalent to $0.46 per preferred share."
412,"Germany, and operates can factories in France, Holland snd ",left,CARNATION CO.,Carnation Co.,,,Description,"""Owns a majority (65%) of the stock of General Milk Co. Inc., which is engaged in export business, and owns and operates four condenseries located In France, Holland and Germany, and operates can factories in France, Holland and Germany.""; the company lists out all the sibsidiaries in the US, but none abroad",False,False,False,False,False,True,False,False,CARNATION CO.,General Milk Co. Inc.,"CARNATION CO. Incorporated July 1, 1920, in Delaware as the Carnation Milk Products Co. to succeed company of same name incorporated in Maine; name changed to above Nov. 1, 1929. Principal product is evaporated milk. Also engaged in the fluid milk and ice cream business in Washington, Oregon, California, Iowa, Oklahoma and Texas. Owns a majority (66%) of the stock of General Milk Co. Inc., which is engaged in export business, and owns and operates four condensaries located in France, Holland and Germany, and operates can factories in France, Holland and Germany. Company owns and operates 39 plants in States of Washington, Oregon, California, Colorado, Minnesota, Iowa, Illinois, Kentucky, Wisconsin, New York, Pennsylvania, Tennessee, Mississippi, Missouri, Michigan and Texas and in Ontario, Can.; operates its own can factories. In 1931, purchased business of Mohawk Condensed Milk Co. In Oct., 1929, acquired the entire common stock and 70% of preferred stock of Albers Bros. Milling Co. (See appended statement). During 1929 company also acquired a number of leading dairy companies in Washington, Oregon, California, Oklahoma, Texas and Iowa. In Mar., 1930, acquired Harris Cream Top"
502,"Argentina, Japan, Germany andltajy. In 1980 acqutam ",left,CELOTEX CO. (THE),Celotex Co.,,,Description,"""Company supplies over 7,000 retail dealers and operates divisional sales offices in principal cities of the U. S. Sales offices are also maintained in England, Australia, Canada, Argentina, Japan, Germany and Italy.""",False,False,False,False,False,True,False,False,CELOTEX CO. (THE),The text mentions sales offices in Germany but does not name a specific German subsidiary company.,"Incorporated in Delaware in June 1920, Celotex Co. (THE) manufactures and sells building insulating products from bagasse, including ""Celotex"" brand insulating cane board. The company operates a plant in Marrero, La., and acquired a paper mill in New Iberia, La., in August 1929. It maintains divisional sales offices in the U.S. and sales offices in England, Australia, Canada, Argentina, Japan, Germany, and Italy. In 1930, it acquired all capital stock of Celotex Co. of Great Britain from Dahlberg Corp. of America. The company owns world-wide patents."
542,"of the properties a n  located in Germany, with exception of ",left,HUGO STINNES CORP.,Hugo Stinnes Corporation,,,Description,"Substantially all of the properties are located in Germany, with exception of certain coal terminal and distributing faculties in Holland, Belgium, Denmark, Sweden and Italy and timber lands in Sweden.",True,False,False,False,False,True,False,False,Hugo Stinnes Incorporated,Gewerkschaft Mathias Stinnes,"Hugo Stinnes Incorporated, formed October 23, 1928, in Maryland, owns the entire capital stock of Hugo Stinnes Industry, Inc., and controls diversified manufacturing enterprises, income-producing real estate (including office buildings, apartment houses, farm, and timber lands). Most properties are located in Germany, with some facilities in Holland, Belgium, Denmark, Sweden, and Italy. The company plans to liquidate certain manufacturing plants not related to the coal industry, part of its real estate, and marketable securities as favorable opportunities arise. The average number of employees (company and subsidiaries) in 1930 was 12,717. Hugo Stinnes Industries, Inc., also incorporated October 23, 1928, in Maryland and controlled by Hugo Stinnes Corp., owns or controls stocks representing all coal and coal products holdings and certain other interests owned by Hugo Stinnes. It owns 55% of the stock of Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes)."
543,"Nordenham and Duisburg; Germany, and Copenhagen, Den­",left,"HUGO STINNES INDUSTRIES, INC.","Hugo Stinnes Industries, Inc.",Hugo Stinnes G. m. b. H.,Hugo Stinnes G.m.b.H.,Description,,True,False,False,True,False,True,False,False,"Hugo Stinnes, Ltd.","Hugo Stinnes G. m. b. H., Rheinische-Westfaelische Bergwerks Gesellschaft, Mathias Stinnes Mining Corp., Muelheim Mining Corp.","Hugo Stinnes, Ltd. is an international dealer in coal, engaged principally in mining, transportation, and distribution of fuel and fuel products. The firm owns extensive storage facilities and coal yards at various ports in Germany (Hamburg-Harburg, Mannheim, Stettin, Konigsberg, Nordenham, Duisburg, Berlin, Stuttgart, Bremen), Denmark, Belgium, Italy, Sweden, Switzerland, Turkey, Holland, Latvia, Great Britain, France, and the U.S.A. It also owns ocean steamers, tug boats, and steel barges. The group has an estimated reserve of over 380,000,000 tons of bituminous and anthracite coal and a 48% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve (estimated at over 7,000,000,000 tons). The group also produces by-products including gas, electric power, benzol, tar oils, ammonium sulphate, glass products, and brick. Financial notes include details on its $15,000,000 sinking fund debenture gold 7s, due Oct. 1, 1946, with $2,770,500 outstanding as of Jan. 1, 1932. These bonds carry detachable warrants for stock. The company pays normal income tax up to 2%."
543,"Nordenham and Duisburg; Germany, and Copenhagen, Den­",left,"HUGO STINNES INDUSTRIES, INC.","Hugo Stinnes Industries, Inc.",Rheinische-Westfaelische Bergwerks Gesellschaft,Rheinische-Westfaelische Bergwerks Gesellschaft,Description,,True,False,False,True,False,True,False,False,"Hugo Stinnes, Ltd.","Hugo Stinnes G. m. b. H., Rheinische-Westfaelische Bergwerks Gesellschaft, Mathias Stinnes Mining Corp., Muelheim Mining Corp.","Hugo Stinnes, Ltd. is an international dealer in coal, engaged principally in mining, transportation, and distribution of fuel and fuel products. The firm owns extensive storage facilities and coal yards at various ports in Germany (Hamburg-Harburg, Mannheim, Stettin, Konigsberg, Nordenham, Duisburg, Berlin, Stuttgart, Bremen), Denmark, Belgium, Italy, Sweden, Switzerland, Turkey, Holland, Latvia, Great Britain, France, and the U.S.A. It also owns ocean steamers, tug boats, and steel barges. The group has an estimated reserve of over 380,000,000 tons of bituminous and anthracite coal and a 48% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve (estimated at over 7,000,000,000 tons). The group also produces by-products including gas, electric power, benzol, tar oils, ammonium sulphate, glass products, and brick. Financial notes include details on its $15,000,000 sinking fund debenture gold 7s, due Oct. 1, 1946, with $2,770,500 outstanding as of Jan. 1, 1932. These bonds carry detachable warrants for stock. The company pays normal income tax up to 2%."
549,Machineiy Co. (France); in Germany by Reece Machinery ,center,INTERNATIONAL BUTTON-HOLE SEWINO MACHINE CO,The International Button Hole Sewing Machine Company,Reece Machinery Co. G.m.b.H.,Reece Machinery Company,Description,"INTERNATIONAL BUTTON-HOLE SEWINO MACHINE CO.: Incorporated in Maine, May 18,1882. Owns foreign patents for Reece button-hole machinery, with agendas in Italy, Australia, New Zealand, Cuba, South America, Japan and South Africa. Also represented in England by Reece Machinery Co., Ltd.; in France by Reece Machineiy Co. (France); in Germany by Reece Machinery Co. G.M.B.H.; and in Canada by Reece Machinery Co. of Canada, Ltd. Entire capital stock of these companies is owned by the company. During latter part of 1931 company became exclusive agents in all countries other than Canada and the United States for the entire line of Union Button Sewing Machine",False,False,False,True,True,True,False,False,INTERNATIONAL BUTTON-HOLE SEWING MACHINE CO.,Reece Machinery Co. G.M.B.H.,"Incorporated in Maine, May 18, 1882. The firm owns foreign patents for Reece button-hole machinery and has agencies in Italy, Australia, New Zealand, Cuba, South America, Japan, and South Africa. It is also represented in England by Reece Machinery Co., Ltd., in France by Reece Machinery Co. (France), and in Canada by Reece Machinery Co. of Canada, Ltd. The entire capital stock of these companies is owned by the company. During the latter part of 1931, the company became exclusive agents in all countries other than Canada and the United States for the entire line of Union Button Sewing Machines."
567,"Hamburg, Germany. On Oct 1, 1927, acquired controlling ",left,HOBART MANUFACTURING CO.,The Hobart Manufacturing Company,"Hobart Gesellschaft, Hamburg, Germany","Hobart Maschinen Gesellschaft, m.b.H.",Description,"""Other subsidiaries include Compagnie Internationale Hobart, Paris, France, manufacturing plant, and Hobart Gesellschaft, Hamburg, Germany. """,True,False,False,True,False,False,False,False,HOBART MANUFACTURING CO.,"Hobart Gesellschaft, Hamburg, Germany","Incorporated under Ohio laws March 15, 1913, established in 1895. Manufactures electrical coffee mills, meat chopping, mixing and food cutting machines. In Oct., 1926, acquired business and patents of Crescent Washing Machine Co. of New Rochelle, N. Y., manufacturers of dish washing and metal washing machines. Added ""Hobart Potato Peeler"" and ""Hobart Slicer"" to its line. Operates plant at Troy, Ohio, and has assembling plants in Toronto, Canada, and Long Island, N. Y. Owns common stock of Hobart Mfg. Co., Ltd. (London, Eng.) and Fabricage Maatschappij Hobart Berkel (Rotterdam, Holland). Other subsidiaries include Compagnie Internationale Hobart (Paris, France) and a Manufacturing Plant. Acquired controlling interest in Kitchen Aid Mfg. Co. in 1927, which was sold in 1931. Number of employees as of Dec. 31, 1931, was 925. Maintains branch offices in major U.S. cities and Toronto, with agencies in larger cities globally."
662,processes of Chemische Fabrik Von Heyden of Germany. ,left,HEYDEN CHEMICAL CORP.,Heyden Chemical Corp.,,,Description,"""Company has exclusive right in United States and Canada, of all patents, trade names, and processes of Chemische Fabrik Von Heyden of Germany""",False,False,False,False,False,False,False,True,HEYDEN CHEMICAL CORP.,Chemische Fabrik von Heyden,"HEYDEN CHEMICAL CORP. was incorporated in 1925 under New York laws, formed by the consolidation of Heyden Chemical Co. of America, Inc. and Denhey Corp. The company holds exclusive rights in the United States and Canada for all patents, trade-names, and processes originating from Chemische Fabrik von Heyden of Germany. It manufactures chemicals for medicinal and technical uses. As of December 31, 1931, the company had 250 employees."
