US Company,TFR-500,Tenenbaum,Moodys 32,Moodys 34,HB 32,HB 34,HB GmbH
Addressograph-Multigraph Corporation,True,True,True,True,False,False,True
Aeolian Company,False,False,False,False,False,False,True
Alta United Mines Co.,False,False,False,True,False,False,False
Aluminum Company of America,False,False,False,True,False,False,False
Amber Mines Inc.,False,True,False,False,False,False,False
American -Austrian Magnesite Corporation,True,False,False,False,False,False,False
American Askania Corp.,False,True,False,False,False,False,False
American Bemberg Corp.,False,False,True,True,False,False,False
American Can Company,False,False,True,True,False,False,False
American Cyanamid Company,True,False,False,False,False,False,False
American Foreign Insurance Association,True,False,False,False,False,False,False
American I. G. Chemical Corp.,False,True,False,True,False,False,False
"American Lurgu Company, New York",False,True,False,False,False,False,False
American Miag Corporation,False,True,False,False,False,False,False
"American News Company, Inc.",False,False,False,False,False,False,True
American Nickel Alloy Mfg. Corp.,True,False,False,False,False,False,False
American Oil Company,False,False,False,False,False,False,True
American Radiator & Standard Sanitary Corporation,True,True,True,True,False,False,False
American Ship & Commerce Corp.,False,True,False,True,False,False,False
American-Austrian Magnesite Corporation,True,False,False,False,False,False,False
Arden Investing Co.,True,False,False,False,False,False,False
"Aris Cloves Co., Inc.",True,False,False,False,False,False,False
Armour & Company,True,False,False,False,False,False,False
Associated Merchandising Corporation,True,False,False,False,False,False,False
Associated Press,True,False,False,False,False,False,False
"B. F. Goodrich Rubber Co., Akron, Ohio",False,True,False,False,False,False,False
Bakelite Corp.,False,False,False,True,False,False,True
Bausch & Lomb Optical Co.,False,False,False,True,False,False,True
Bavarian oil and Gas Corporation,True,False,False,False,True,True,False
Bedford Construction Co.,True,False,False,False,False,False,False
"Berth, Levi & Co. Inc.",True,False,False,False,False,False,False
Blaw-Knox Co.,False,False,True,True,False,False,True
Brown Harrimann & Company Incorporated,False,False,False,False,False,True,False
Buffalo Electro-Chemical Co.,False,False,True,True,False,False,False
Burroughs Adding Machine Company,True,True,True,True,False,False,False
Butler Brothers,True,False,False,False,False,False,True
Carnation Co.,False,False,True,False,False,False,False
Carrier Corporation,False,False,True,False,False,False,False
Celotex Co.,False,False,True,True,False,False,True
Central American Plantations Corp.,False,False,True,False,False,False,False
Central Cuba Sugar Co.,False,False,True,True,False,False,False
Central European Holding Corporation c/o Cotton Brenner & Wrigley,True,False,False,False,False,False,False
Chemical Research Corp.,False,False,False,True,False,False,False
Chesebrough Manufacturing Co. Consolidated,True,False,False,False,False,False,True
Chicago Pneumatic Tool Co.,True,True,True,True,False,False,False
Colgate-Palmolive-Peet Co.,True,True,True,True,False,False,False
Columbia Pictures Corp.,False,False,False,True,False,False,True
Combustion Engineering Co. Inc.,True,False,True,False,False,False,False
Commercial Investment Trust Corp.,False,False,False,False,True,True,False
Consolidated Oil Corporation,False,False,True,True,False,False,False
Consolidated Silesian Steel Corporation,False,False,False,False,True,False,False
"Continental ""Borvisk"" Co.",True,False,False,False,False,False,False
Continental-Diamond Fibre Co.,False,False,False,True,False,False,False
Corn Products Refining Company,False,False,False,False,False,False,True
Corn Products Refining company,True,True,False,False,False,True,False
"Coty, Inc., New York",False,True,False,False,False,False,False
Crown Cork International Corporation,False,False,True,True,False,False,False
Davega Stores Corp.,False,False,False,True,False,False,False
"Davis & Company, Incorporated",True,False,False,False,False,False,False
Delta Finance,True,False,False,False,False,False,False
Denver Chemical Mfg. Co.,True,False,False,False,False,False,False
Dewey & Almy Chemical Co.,False,False,True,False,True,False,False
Dietaphone Corporation,True,False,False,False,False,False,False
"Durant Motors, Inc.",False,False,False,False,False,False,True
E. F. Houghton & Company,True,False,False,False,False,False,False
E.I. du Pont de Nemours and Company,True,True,True,True,True,True,False
Eagle Oil Company,False,False,False,False,False,False,True
Eastman Kodak Company,True,True,True,True,True,False,False
Eberhard Faber Pencil Company,True,False,False,False,False,False,False
Edward G. Budd Manufacturing Company,True,True,False,False,False,False,False
"Eitingon Schild Co., Inc.",True,False,True,True,True,True,False
Electric Boat Company,False,False,True,False,False,False,False
Emil Frei Inc.,True,False,False,False,False,False,False
Emil Winter interests of Pittsburgh,False,True,False,False,False,False,False
Enziger Union Corp.,False,True,False,False,False,False,False
Equitable Life Assurance Society of the United States,True,False,False,False,False,False,False
Eugene Dietzgen Co.,True,False,False,False,False,False,False
F. W. Woolworth Co.,True,True,True,True,False,False,False
Felt & Tarrant Mfg. Co.,True,False,False,False,False,False,False
Fisk Rubber Co.,False,True,False,False,False,False,False
Ford Motor Company,True,True,True,True,True,True,False
"Foreign Investments, Incorporated",True,False,False,False,False,False,False
"Fownes Brothers & Co., Inc.",False,False,False,True,False,False,False
"G. Hirsch Sons, Inc.",True,False,False,False,False,False,False
General American Tank Car Corp ,False,False,False,False,True,True,False
General American Transportation Corporation,False,True,False,True,False,False,False
General Motors Acceptance Corporation,True,False,True,True,False,False,False
General Motors Corporation (Overseas Operations),True,True,True,True,True,True,True
German-American Tobacco Co.,False,False,False,True,False,False,True
Gillette Safety Rasor Company,True,True,False,False,False,False,True
Globe Steel Tubes Company,False,False,False,True,False,False,False
"Grant, (W. T.) Company",False,False,False,False,False,False,True
Guardian Life Insurance Co. of America,False,False,False,False,False,True,False
Gulf Oil Corporation,True,False,True,True,False,False,False
"Harris, Forbes & Co.",False,False,False,False,True,True,False
Haskins & Sells,True,False,False,False,False,False,False
Hazeltine Corp.,False,False,False,True,False,False,False
Heyden Chemical Corp.,False,False,True,True,False,False,False
"Heyden Chemical Corporation, New York",False,True,False,False,False,False,False
"Holophane Company, Inc.",False,False,False,False,False,False,True
Hudson Motor Car Company,True,False,False,False,False,False,False
Hugo Stinnes Corporation,True,True,True,True,False,False,False
"Hugo Stinnes Industries, Inc.",True,True,True,True,False,False,False
Hupp Motor Car Corporation,False,False,False,False,False,False,True
I. B. Kleinert Rubbert Company,True,False,True,True,False,False,False
Ingersoll-Rand Company,False,False,False,False,False,False,True
International Affiliated Corporation,True,False,False,False,False,False,False
International Agricultural Corporation,False,True,False,False,False,False,False
International Business Machine Corp.,True,True,True,False,False,False,False
International Finance Company,True,False,False,False,False,False,False
International General Electric Company Inc.,True,True,True,True,True,True,False
International Harvester Company,True,True,True,True,False,False,True
International Harvester Export Co.,True,False,False,False,False,False,False
International Mercantile Marine Co.,False,False,False,True,False,False,False
International Mortgage & Investment Corporation c/o Alien Property Custodian,True,False,False,False,False,False,False
"International Patent Corporation, Maryland",False,True,False,False,False,False,False
International Securities Company,True,False,False,False,False,False,False
International Standard Electric Corp.,True,True,False,False,False,False,False
International Telephone and Telegraph Corp.,True,True,False,False,True,True,False
Intertype Corporation,True,False,True,True,False,False,False
J. E. Bernard & Co. Inc.,True,False,False,False,False,False,False
Jadev Corporation,True,False,False,False,False,False,False
Johnson & Son. St. Louis,False,True,False,False,False,False,False
Jones (J. Edward) Royalty Trust,False,False,False,True,False,False,False
Julius Kayser & Company,False,True,True,True,False,False,False
Koenig Medicine Co.,True,False,False,False,False,False,False
Kraft Cheese Company,True,True,False,False,False,False,True
Kupfer Bros. Co. Inc.,True,False,False,False,False,False,False
