Name of Foreign Business,Address (HO),Address (Main Operating Office),Type of Organization,Type of investment,Date Organized,Type of Business,US Company,American Owner - Address,Owned Through (Allied Foreign Organization),Principal Properties of Foreign Business,Production Data,Organizations Allied with the Foreign Organization,Directors and Officers of the Foreign Organization,Proportionate Interest of Persons other than Reporter,"License Agreements, Franchises, and Contracts",Percent Owned,Total Value of Interest Reported - Cost Per Book of Immediate Parent,Total Value of Interest Reported - Value Per Books of Foreign Organization In Currency Used,Total Value of Interest Reported - Value Per Books of Foreign Organization In USD or Currency of Immediate Parent,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Cost Per Book,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in Currency Used,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in USD or Currency of Immediate Parent,"Property Reported Damaged, Destroyed, or Seized Between Jan 1, 1938 and May 1943", ford report amount ,X/S,Property Reported Damaged,additional notes,type_Partnership,type_branch,type_ownership,type_unknown
Adam Opel Aktiengsellschaft,"Russelheim Am Main, Germany","Russelheim Am Main, Germany",Corporation (Aktiengesellschaft),ownership,1-Oct-28,"Production, assembly and sale of cars and trucks and automotive products",General Motors Corporation (Overseas Operations),"3044 West Grand Blvd. Detroit 2, Michigan",NA,see detailed table,see detailed table,see detailed table,see detailed table,None,Not answered,100%,"$35,632,022 ","Rm. 129,682,200","$52,022,562 ","$3,180,500 ","Rm. 13,357,900","$52,022,562 ","The values shown in Column 3 of Part 12 B do not reflect the possible seisure or confiscation of the property of the subsidiary, but the entire investment in the subeidiary on the reporter's books has been written off as a war lose prior to May 31, 1943 and subsequent to the date used in Part C."," $ 54,852,486 ",1.054,"The value shown in Column 3 of Part 12 B do not reflect the possible seisure or confiscation of the property of the subsidiary, but the entire invetment in the subsidiary on the reporter's books has been written off as a war loss prior to May 31, 1943 and subsequent to the date used in Part C.",,False,False,True,False
"A. B. P. Gefolgschoftsheime, G.m.b.H.","Johannisthal, Berlin, Germany",,GmbH,ownership,1937,"Leasing of land and dwellings to workmen of Ambi-Budd Presswerk, G.m.b.H.",Edward G. Budd Manufacturing Company,"2450 Hunting Park Avenue, Phil., Penna.","Ambi-Budd Presswerk, G.m.b.H. (Johannisthal, Berlin, Germany)",,,,,,,None,"Rm. 119,000","Rm. 119,000","$47,719 ",None,None,None,,,0.0,"Property is located in Berlin, Germany. No data available re values carried on books of parent company",,False,False,True,False
Addressograph-Multigraph G.m.b.H.,"Berlin, Germany","Berlin, Germany",GmbH,ownership,March 1928,"Selling and servicing Addressogrpah, Multigraph and Multilith Products",Addressograph-Multigraph Corporation,"1200 Babbitt Road, Euclid, Ohio",NA,,,,,,,100%,"$610,203 ","Rm. 817,054","$327,639 ",NA,NA,NA,," $ 305,688 ",0.933,NA,,False,False,True,False
Adrema Maschinenebau G.m.b.H.,"20-21 Gotskowsky St. Berlin, Germany",,GmbH,ownership,NA,Manufacture and sale of business machines,Underwood Elliott Fisher Company,"One Park Ave., New York, N. Y.","Mercedes Buromaschinen Werke A. G. (Zella-Mahlis, Germany)",,,,,,,100%,"$1,400,215 ","Rm. 1,819,370","$729,567 ",NA,NA,NA,,,0.0,It is believed that the underlying assets of the reported property has been seized by the German Government.,,False,False,True,False
Aktiengesellschaft fuer Anlagewerte,"Nemhardstrasse 6, Berlin, Germany",,Corporation (Aktiengesellschaft),ownership,12/5/1898,Investment and management of securities,"New Jersey Industries, Inc.","120 Wall Street, New York 5, N. Y.","Emil Koster Aktiengesellschaft (Rosenthalerstrasse 40/41, Berlin C.2",,,,,,,33%,"Rm. 1,316,000","Rm. 1063, 218","$426,350 ",None,None,None,," $ 11,497,238 ",26.967,NA,,False,False,True,False
Aktiengesellschaft fuer Anlagewerte,"Memberdstrasse 6, Berlin, Germany",,Corporation (Aktiengesellschaft),ownership,12/5/1898,Investment and management of securities,"New Jersey Industries, Inc.","120 Wall Street, New York 5, N. Y.","Bella Finanzierungs A.G. (Glarus, Switzerland)",,,,,,,50%,"Rm. 1,974,400","Rm. 1,595,492.29","$639,792 ",None,None,None,," $ 11,497,238 ",17.97,NA,,False,False,True,False
"Ahr, Krath and Co.","Barment, Germany",,unknown,Partnership,NA,Banking,Delta Finance,Delaware,NA,,,,,,,NA,"$85,158 ","Rm. 555,681","$142,628 ",None,None,None,," $ 142,628 ",1.0,NA,,True,False,False,False
"Aktien-Malsfabrik Landsburg, A. G.",Landsberg-Halle Germany,,Corporation (Aktiengesellschaft),ownership,1871,Malt Producer,Corn Products Refining company,"17 Battery Place, New York, N. Y.","Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,58%,NA,NA,NA,NA,NA,NA,," $ 14,434,541 ",#VALUE!,NA,,False,False,True,False
"Allgemeine Erdol Gesellschaft, m.b.H.","Oldenburg, Germany",,GmbH,ownership,21-Aug-24,Owns securities,Jadev Corporation,"30 Rockfeller Plaza, New York, N. Y.","Gewerkschaft Brigitta (Ferdinandstrasse 27 Hanover, Germany",,,,,,,100%,"$10,000 ",NA,NA,NA,NA,NA,," $ 2,641,659 ",#VALUE!,NA,,False,False,True,False
Allgemeine Finanzierungs Gesellschaft m.b.H.,"Russelsheim, Germany",,GmbH,ownership,August 1929,Financing sales of Adam Opel and General Motors Products.,General Motors Acceptance Corporation,"1775 Broadway, N.Y., N. Y.",NA,,,,,,,100%,"$572,656 ","Rm. 2,736,168","$1,097,204 ",None,None,None,,,0.0,NA,,False,False,True,False
