,Master US firm name,TFR-500,Moodys 32,Moodys 34
0,Addressograph-Multigraph Corporation,True,True,True
1,Alta United Mines Co.,False,False,True
2,Aluminum Company of America,False,False,True
3,American -Austrian Magnesite Corporation,True,False,False
4,American Bemberg Corp.,False,True,True
5,American Can Company,False,True,True
6,American Cyanamid Company,True,False,False
7,American Foreign Insurance Association,True,False,False
8,American I. G. Chemical Corp.,False,False,True
9,American Nickel Alloy Mfg. Corp.,True,False,False
10,American Radiator & Standard Sanitary Corporation,True,True,True
11,American Ship & Commerce Corp.,False,False,True
12,American-Austrian Magnesite Corporation,True,False,False
13,Arden Investing Co.,True,False,False
14,"Aris Cloves Co., Inc.",True,False,False
15,Armour & Company,True,False,False
16,Associated Merchandising Corporation,True,False,False
17,Associated Press,True,False,False
18,Bakelite Corp.,False,False,True
19,Bausch & Lomb Optical Co.,False,False,True
20,Bavarian oil and Gas Corporation,True,False,False
21,Bedford Construction Co.,True,False,False
22,"Berth, Levi & Co. Inc.",True,False,False
23,Blaw-Knox Co.,False,True,True
24,Buffalo Electro-Chemical Co.,False,True,True
25,Burroughs Adding Machine Company,True,True,True
26,Butler Brothers,True,False,False
27,Carnation Co.,False,True,False
28,Carrier Corporation,False,True,False
29,Celotex Co.,False,True,True
30,Central American Plantations Corp.,False,True,False
31,Central Cuba Sugar Co.,False,True,True
32,Central European Holding Corporation c/o Cotton Brenner & Wrigley,True,False,False
33,Chemical Research Corp.,False,False,True
34,Chesebrough Manufacturing Co. Consolidated,True,False,False
35,Chicago Pneumatic Tool Co.,True,True,True
36,Colgate-Palmolive-Peet Co.,True,True,True
37,Columbia Pictures Corp.,False,False,True
38,Combustion Engineering Co. Inc.,True,True,False
39,Consolidated Oil Corporation,False,True,True
40,"Continental ""Borvisk"" Co.",True,False,False
41,Continental-Diamond Fibre Co.,False,False,True
42,Corn Products Refining company,True,False,False
43,Crown Cork International Corporation,False,True,True
44,Davega Stores Corp.,False,False,True
45,"Davis & Company, Incorporated",True,False,False
46,Delta Finance,True,False,False
47,Denver Chemical Mfg. Co.,True,False,False
48,Dewey & Almy Chemical Co.,False,True,False
49,Dietaphone Corporation,True,False,False
50,E. F. Houghton & Company,True,False,False
51,E.I. du Pont de Nemours and Company,True,True,True
52,Eastman Kodak Company,True,True,True
53,Eberhard Faber Pencil Company,True,False,False
54,Edward G. Budd Manufacturing Company,True,False,False
55,"Eitingon Schild Co., Inc.",True,True,True
56,Electric Boat Company,False,True,False
57,Emil Frei Inc.,True,False,False
58,Equitable Life Assurance Society of the United States,True,False,False
59,Eugene Dietzgen Co.,True,False,False
60,F. W. Woolworth Co.,True,True,True
61,Felt & Tarrant Mfg. Co.,True,False,False
