,level_0,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,IDed in HB GmbH,firm_name,searched,index,page,column,location,date,capital,business,persons,type,HB GmbH class,fuzzy_score,match_is_good
0,0,Standard Oil Company (New Jersey),"""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
1,1,Edward G. Budd Manufacturing Company,"A. B. P. Gefolgschoftsheime, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
2,2,The ARMCO International Corporation,ARMCO Eisen G.m.b.H.,True,False,False,True,False,,1.0,,,,,,,,,,,,
3,3,Underwood Elliott Fisher Company,Adrema Maschinenebau G.m.b.H.,True,False,False,False,False,„Adrema“ Maschinenbau-Gesellschaft,1.0,12.0,23.0,left,"Berlin-Charlottenburg, Alt-Moabit 62/63",2. 4. 13,RM 1000 000,Maschinenfabrikation,Julius Goldschmidt,1 Gf. od. 2 Pk,,,
4,4,The Atlantic Refining Company,"Allgemeine Oel-Handels, GmbH. (Oelhag)",True,False,True,True,False,Allgemeine Oel-Handels-Gesellschaft,1.0,38.0,36.0,left,"Hamburg, Mittelweg 38",8. 12. 20,RM 9 000 000,Handel mit Gelen und verwandten Waren,Emanuel Rein,2 Gf. od. 1 Gf. od. 2 Pk.,,,
5,5,"Hugo Stinnes Industries, Inc.",Artus Hanse Transport G.m.b.H.,True,False,False,False,False,Artus-Hansa Transportgesellschaft,1.0,81.0,57.0,right,Königsberg,7. 11. 19,Not specified,Not specified,,"Zweign. Pillau, Tilsit, Prostken, Eydtkuhnen",,,
6,6,The Atlantic Refining Company,Atreco Oel-Handels GmbH.,True,False,False,False,False,,1.0,,,,,,,,,,,,
7,7,The Yale & Towne Manufacturing Company,B.K.S. Handelsgesellschaft m.b.H.,True,True,True,False,False,Rheinische Türschließerfabrik Boge & Kasten,1.0,2017.0,1025.0,right,Wald b. Solingen,22.5.22,RM 100 000,"Fabrikation und Vertrieb von Türschließern, Türschlössern",A. Boge sen.; K. Bremshey sen.; H. B. Smith,FirmEntry,,,
8,8,St. Regis Paper Co.,Bates Maschinen GmbH,True,False,False,False,False,Bates Engineering Co.,1.0,144.0,89.0,left,"Berlin W 15, Kurfürstendamm Nr. 178",3.10.25,RM 125000,Ausführung von Ingenieurarbeiten aller Art,S. H. Bates,Jed. Gf.,,,
9,9,Silesian-American Corporation,Bergwerkgesellschaft Georg von Giesche's Erben,False,True,True,False,False,Georg von Giesche’s Erben Handelsgesellschaft,1.0,885.0,459.0,right,Stettin,22.9.23,RM 500,"Handel mit Kohlen, Koks, Speditions- und Schiffahrtsgeschäft",M. Mannheim,Jed. Gf.,,,
