,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum
0,"Swiss ""Borvisk"" Company","""Borvisk"" Kunstseiden-Vertriebsgesellschaft, m.b.H.",True,False,False,False
1,Standard Oil Company (New Jersey),"""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.",True,False,False,False
2,International Telephone and Telegraph Corp.,"""Volta"" Telephon & Signalbau G.m.b.H.",True,False,False,True
3,Edward G. Budd Manufacturing Company,"A. B. P. Gefolgschoftsheime, G.m.b.H.",True,False,False,False
4,The ARMCO International Corporation,ARMCO Eisen G.m.b.H.,True,False,False,True
5,Addressograph-Multigraph Corporation,Addressograph-Multigraph G.m.b.H.,True,False,False,True
6,Underwood Elliott Fisher Company,Adrema Maschinenebau G.m.b.H.,True,False,False,False
7,Jadev Corporation,"Allgemeine Erdol Gesellschaft, m.b.H.",True,False,False,False
8,General Motors Acceptance Corporation,Allgemeine Finanzierungs Gesellschaft m.b.H.,True,True,True,False
9,The Atlantic Refining Company,"Allgemeine Oel-Handels, GmbH. (Oelhag)",True,False,True,True
10,Standard Oil Company (New Jersey),Allgemeine Oel-Handels-Gesellschaft mit beschrankter Haftung,True,False,False,False
11,The American Laundry Maschinery Co.,"Almco Waschereimaschinen, GmbH",True,False,False,False
12,Edward G. Budd Manufacturing Company,"Ambi-Budd Presswerk, G.m.b.H.",True,False,False,True
13,"The American Express company, Incorporated.",American Express Company mit Beschrankter Haftung,True,False,False,True
14,"Hugo Stinnes Industries, Inc.",Anker Kohlen & Brikettwerke G.m.b.H.,True,False,False,False
15,"Hugo Stinnes Industries, Inc.",Artus Hanse Transport G.m.b.H.,True,False,False,False
16,Associated Merchandising Corporation,Associated Merchandising Corp. GmbH,True,False,False,False
17,The Atlantic Refining Company,Atreco Oel-Handels GmbH.,True,False,False,False
18,The Yale & Towne Manufacturing Company,B.K.S. Handelsgesellschaft m.b.H.,True,True,True,False
19,Bakelite Corp.,Bakelite Gesellschaft,False,False,True,False
20,International Telephone and Telegraph Corp.,"Baruta Import and Export, GmbH",True,False,False,False
21,St. Regis Paper Co.,Bates Maschinen GmbH,True,False,False,False
22,Silesian-American Corporation,Bergwerkgesellschaft Georg von Giesche's Erben,False,True,True,False
23,Chicago Pneumatic Tool Co.,"Berlin-Oberschoeneweide, Germany",False,False,True,False
24,"Hugo Stinnes Industries, Inc.",Bernauer & Co.,True,False,False,False
25,"Hugo Stinnes Industries, Inc.",Bernhoeft & Wilde,True,False,False,False
26,Kraft Cheese Company,"Betz & Jay, GmbH",True,False,False,True
27,"Hugo Stinnes Industries, Inc.","Born, Mehring & Co, G.m.b.H.",True,False,False,False
