,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,HB GmbH class,IDed in HB GmbH
0,"Swiss ""Borvisk"" Company","""Borvisk"" Kunstseiden-Vertriebsgesellschaft, m.b.H.",True,False,False,False,,False
1,Standard Oil Company (New Jersey),"""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.",True,False,False,False,,False
2,International Telephone and Telegraph Corp.,"""Volta"" Telephon & Signalbau G.m.b.H.",True,False,False,True,,False
3,Edward G. Budd Manufacturing Company,"A. B. P. Gefolgschoftsheime, G.m.b.H.",True,False,False,False,,False
4,The ARMCO International Corporation,ARMCO Eisen G.m.b.H.,True,False,False,True,,False
5,Addressograph-Multigraph Corporation,Addressograph-Multigraph G.m.b.H.,True,False,False,True,USO,True
6,Underwood Elliott Fisher Company,Adrema Maschinenebau G.m.b.H.,True,False,False,False,,False
7,Aeolian Company,Aeolian Company,False,False,False,False,USO,True
8,Jadev Corporation,"Allgemeine Erdol Gesellschaft, m.b.H.",True,False,False,False,,False
9,General Motors Acceptance Corporation,Allgemeine Finanzierungs Gesellschaft m.b.H.,True,True,True,False,,False
10,The Atlantic Refining Company,"Allgemeine Oel-Handels, GmbH. (Oelhag)",True,False,True,True,,False
11,Standard Oil Company (New Jersey),Allgemeine Oel-Handels-Gesellschaft mit beschrankter Haftung,True,False,False,False,,False
12,The American Laundry Maschinery Co.,"Almco Waschereimaschinen, GmbH",True,False,False,False,,False
13,Edward G. Budd Manufacturing Company,"Ambi-Budd Presswerk, G.m.b.H.",True,False,False,True,,False
14,"The American Express company, Incorporated.",American Express Company mit Beschrankter Haftung,True,False,False,True,,False
15,"American News Company, Inc.",American News Company,False,False,False,False,USC,True
16,American Oil Company,American Oil Company,False,False,False,False,USO,True
17,"Hugo Stinnes Industries, Inc.",Anker Kohlen & Brikettwerke G.m.b.H.,True,False,False,False,,False
18,"Hugo Stinnes Industries, Inc.",Artus Hanse Transport G.m.b.H.,True,False,False,False,,False
19,Associated Merchandising Corporation,Associated Merchandising Corp. GmbH,True,False,False,False,,False
20,The Atlantic Refining Company,Atreco Oel-Handels GmbH.,True,False,False,False,,False
