band,firmname_page,firmname
1,204,"Noten-, Kredit- u. Aypotheken-Banken, Trenhand- u. Finanzierungs- gesellschaften, Lombardgeschäfte,"
1,204,"gesellschaften, Lombardgeschäfte, Treuhand- Aktiengesellschaft"
1,204,"Ahrtalbank Akt.-Ges,.,"
1,205,"Vorschuss-Verein zu Alsleben a. S.,"
1,205,"Kreisbank Zauch-Belzig,"
1,206,Akt.-Ges. für Handels- u. Industrie-Beteiligungen in Liqu.
1,206,Aktiengesellschaft für Industrie- und Handelskredite
1,206,Akt.-Ges. für Industrie- und Kommunalkredit
1,207,"Akt.-Ges. für industrielle Werte in Liqu.,"
1,207,Aktiengesellschaft für Treubandverwaltung und Revision
1,207,Aktiengesellschaft für Überseewerte
1,207,Bank des Berliner Kassen-Vereins
1,209,Bank für Grundbesitz und Handel Akt.-Ges.
1,209,Bank für Industriewerte Aktiengesellschaft
1,210,Bank für wertbeständige Anlagen Aktiengesellschaft
1,211,Bayrische Bank für Industrie und Landwirtschaft Akt.-Ges.
1,211,"Beamtenbank Aktiengesellschaft in Liqu., Berlin."
1,211,"Berliner Bank für Handel und Grundbesitz, Akt.-Ges."
1,214,Berliner Handels-Gesellschaft
1,215,Berliner Hypothekenbank Aktiengesellschaft
1,217,gezogen.
1,218,it
1,219,Berliner Lombard-Anstalt Akt.-Ges.
1,219,Commercial Investment Trust Akt.-Ges. (Citag)
1,219,Continentale Finanz Corporation Aktiengesellschaft in Liqu.
1,220,Curabank Akt.-Ges. in Berlin-Zehlendorf.
1,220,"Deutsch-Holländische Diseont-Bank, Akt.-Ges. in Liqu.,"
1,220,Deutsche Bank u. Disconto-Gesellschaft
1,225,Deutsche Baurevision Revisions- und Treuhand- Aktiengesellschaft für die Bauwirtschaft
1,226,Deutsche Schiffahrtsbank Akt.-Ges.
1,226,Deutsche Bau- und Bodenbank Aktiengesellschaft
1,229,"Deutsche Finanz- und Handels-Akt.-Ges., (Defihag)"
1,229,Deutsche Genossenschaftsbank Akt.-Ges.
