firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
1,"Noten-, Kredit- u. Hypotheken-Banken, Treuhand- u. Finanzierungs- gesellschaften, Lombardgeschäfte.",197,1,2,4
2,Allgemeine Creditanstalt A.-G. (Credit General) in Liquid.,197,4,4,19
3,ÖOttensener Bank,197,19,19,50
4,Badische Handelsbank Akt.-Ges.,197,50,50,69
5,Serbska Ludowa Banka — Wendische Volksbank Akt.-Ges.,198,69,69,96
6,Städte- und Staatsbank der Oberlausitz,198,96,96,141
7,Administratio Vermögens-Verwaltungs-Akt.-Ges.,199,141,141,144
8,Akka Aktiengesellschaft für Kapitalbildung,199,144,144,160
9,Akt.-Ges. für Bank- u. Hypothekenverkehr,199,160,160,179
10,Aktiengesellschaft für Finanzierungen am Grundstücksmarkt in Liqu. in Berlin-Charlottenburg.,199,179,180,194
11,Aktiengesellschaft für Finanzierungen Commercium,200,194,194,214
12,Aktiengesellschaft für Grund- und Baukredit,200,214,214,229
13,Act.-Ges. für Grundbesitz u. Hypothekenverkehr in Liqu.,200,229,229,243
14,Aktiengesellschaft für Grundkredit,200,243,243,261
15,Akt.-Ges. für Handels- und Industrie-Werte,201,261,261,279
16,Aktiengesellschaft für Kapitalanlage,201,279,279,301
17,Aktiengesellschaft für Konsortialbeteiligung,201,301,301,318
18,Aktiengesellschaft für Siedlungs- und Baukredite,202,318,318,343
19,Akt.-Ges. für Treuhandverkehr und Wirtschaftsprüfung,202,343,343,364
20,Allgemeine Bau- und Zweckspar-Aktiengesellschaft,202,364,364,382
21,Allgemeine Film - Finanzierungs -Aktiengesellschaft,203,382,382,408
22,"Allgemeine Kredit-Aktiengesellschaft in Liqu., Berlin.",203,408,408,428
23,Allgemeine Kredit- u. Depositen-Bank Aktiengesellschaft,203,428,428,446
24,Alte Bank für Beamtengeldwirtschaft Aktiengesellschaft,204,446,446,456
25,Alterum Kredit-Akt.-Ges.,204,456,456,476
26,"Ankumer Spar- und Darlehnskasse, A.-G.",204,476,476,497
27,"Bank-Aktiengesellschaft Südekum & Co. in Liqu,,",205,497,497,505
28,Bank Elektrischer. Werte Akt.-Ges.,205,505,505,625
29,"Bank für Bergbau und Industrie,",206,625,625,657
30,Bank für Industrie und Verwaltung Akt.-Ges.,207,657,657,688
31,Bank für Kommunalwirtschaft Akt.-Ges.,207,688,688,718
32,Bank für Realkredit Akt.-Ges.,208,718,718,743
33,"Bankverein für Kredit und Handel A.-G., Berlin",208,743,743,761
34,"Berliner Industriebank K.-G. a. A., Berlin,",208,761,761,783
35,Berliner Viehverkehrs-Bank Akt.-Ges.,209,783,783,806
36,Berlinische Grunderedit Akt.-Ges.,209,806,806,826
37,Berlinische Treuhand-Akt.-Ges. in Liquid. in Berlin.,209,826,826,840
38,Boden und Finanz Akt.-Ges.,210,840,840,856
39,"Bodenbank Akt.-Ges., Berlin.",210,856,856,860
40,Bodenkredit-Aktiengesellschaft Berlin.,210,860,860,864
41,Bodenverwertungs- und Hypothekenregulierungs-Akt.-Ges.,210,864,864,880
42,Brandenburgische Heimstätten-Finanzierungs-Akt.-Ges.,210,880,880,898
43,"Brandenburgische Vermögens-Verwaltungs- und Vermittlungs-Akt.-Ges. in Liqu., Berlin.",211,898,899,911
44,Buchprüfungs-Treuhand-Aktiengesellschaft,211,911,911,937
45,Centralbank Aktiengesellschaft in Liqu.,211,937,937,941
46,Central-Bausparkasse Aktiengesellschaft,211,941,941,987
47,"Centropa Finanz-Akt.-Ges., Berlin.",212,987,987,993
48,"Concordia Bauspar-Aktiengesellschaft, Berlin",212,993,993,1020
49,Consortial- u. Handelsbank Akt.-Ges.,213,1020,1020,1038
50,Credag Credit-Aktiengesellschaft,213,1038,1038,1056
51,"Creditbank für Industrie und Landwirtschaft A.-G. in Liqu.,",213,1056,1056,1081
52,Cura Verwaltungs-Aktiengesellschaft,214,1081,1081,1105
53,"Darlehnsbank Aktiengesellschaft in Liqu., Berlin.",214,1105,1105,1109
54,Deutsch-Französische Handelsbank,214,1109,1109,1149
55,Deutsche Bausparkasse Aktiengesellschaft,215,1149,1149,1180
56,Deutsche Entschuldungs- u. Zweckspar-Aktiengesellschaft,215,1180,1180,1204
57,"Deutsche Heimstätten- und Boden-Kreditanstalt, gemeinnützige Aktiengesellschaft, Berlin",215,1204,1205,1240
