band,page,firmname
1,163,"Treuhand- und Finanzierung-Gesellschaften, Lombardgeschäfte. Treuhand-Aktiengesellschaft."
1,163,"Vorschuß-Verein zu Alsleben, Baumeier, Otto, Kieling & Co., Kommandit-Ges. auf Aktien."
1,163,Göltzschtalbank Aktiengesellschaft.
1,164,Akt.-Ges. für Industrie- und Kommunalkredit.
1,164,Bank Slowiariski-Slawische Bank Aktiengesellschaft.
1,164,Bank des Berliner Kassen-Vereins.
1,167,Bank für Industriewerte Aktiengesellschaft.
1,167,Bank für Industrie und Verwaltung Aktiengesellschaft.
1,168,"Berliner Bank für Handel und Grundbesitz, Akt.-Ges. in Liqu„"
1,168,Berliner Handels-Gesellschaft. Kommandit-Gesellschaft // auf Aktien.
1,170,Berliner Hypothekenbank Aktiengesellschaft.
1,173,Comptoir Foncier Aktiengesellschaft für Grundkredif.
1,173,Deutsche Bau- u. Bodenbank Aktiengesellschaft.
1,177,Deutsche Holzwirtschaftsbank Aktiengesellschaft in Liqu.
1,177,Deutsche Kreditsicherung Aktiengesellschaft.
1,178,"Deutsche Schiffspfandbriefbank, Aktiengesellschaft, Berlin. //"
1,180,Deutsche Treuhand-Gesellschaft.
1,181,Deutsche Zuckerbank Aktiengesellschaft.
1,183,Finanzierungsgesellschaft für Industrielieferungen Aktienges. (Maschinenbank).
1,184,"Finanzierungsgesellschaft für Landmaschinen Akt-Ges. (Figelag),"
1,184,Fundamentum Treuhand-Aktiengesellschaft.
1,184,Heimbank Aktiengesellschaft.
1,185,Industrie- und Grundkredit Aktiengesellschaft.
1,185,Industrie- und Privat-Bank Aktien-Gesellschaft.
1,186,Industriefinanzierungs-Aktiengesellschaft Ost.
1,187,Industrieverwaltung Aktiengesellschaft.
1,187,„Intrag“ Industrie-Treuhand A.-G.
1,187,Kreünag Kredit Finanzierungs-Aktiengesellschaft.
1,187,"„Landhank“, Aktien-Gesellschaft."
1,188,Lombardbank Aktiengesellschaft.
1,188,Mitteldeutsche Treuhand Aktiengesellschaft.
1,189,Preußische Staatsbank (Seehandlung).
1,191,Preussische Vermögensverwaltungs-Aktiengesellschaft.
1,191,Reichsanleihe-Aktiengesellschaft. 111 (Reichsibank).
1,199,„Revision“ Treuhand-Aktien-Gesellschaft.
1,200,Treuhänder Aktiengesellschaft.
1,200,Treuhandgesellschaft für Kommunale Unternehmungen A.-G»
1,200,Treuhand-Vereinigung Aktiengesellschaft.
1,201,Treuhandverwaltung für Grundstückswerte Aktiengesellschaft.
