firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
1,157,1,1,Mecklenburgische Kredit- und Hypothekenbank. ,142.37066650390625,161.15310668945312
2,159,3,1,Sächsische Staatsbank. ,137.10360717773438,155.4337158203125
3,161,1,1,Bayerische Staatsbank. ,49.95659255981445,69.08732604980469
4,162,20,1,"Braunschweigische Staatsbank, Braunschweig (Leihhausanstalt).",621.2039184570312,639.2039184570312
5,165,9,1,Deutsch-Asiatische Bank. ,308.01385498046875,326.01385498046875
6,166,37,1,1 262 222 Zuckerkreditbank-Aktiengesellschaft. ,620.9328002929688,635.99267578125
7,168,22,1,"Deutsche Ansiedlungsbank, ",619.6090698242188,636.1513061523438
8,171,1,3,Concordia Bergbau-Aktien-Gesellschaft  (früher Rombacher Hüttenwerke).,72.205810546875,85.70518493652344
9,173,39,1,Magdeburger Bergwerks-Aktien-Gesellschaft.,615.0874633789062,634.2962646484375
10,175,10,1,Bezüge von Vorstand und A.-R. in 1933: 44498 RM bzw. 12779 RM. Mansfeld Akt-Ges. für Bergbau u. Hüttenbetrieb. ,387.169189453125,404.4894714355469
11,181,3,1,Didier-Werke Aktiengesellschaft. ,104.23835754394531,122.7204818725586
12,185,2,100,Otavi Minen- und Eisenbahn-Gesellschaft. ,449.48748779296875,468.6962585449219
13,189,3,1,Actien-Bauverein „Passage“. ,127.60283660888672,144.03451538085938
14,190,11,1,Aktiengesellschaft Johannes Jeserich. ,431.2384948730469,450.9867248535156
15,192,11,1,"Bayrische Hartstein-Industrie, Aktiengesellschaft, //",434.5807189941406,485.78546142578125
16,194,26,24,Portland-Cementwerk Saxonia A.-G. vorm. Heinr. Laas Söhne.//,330.0884704589844,349.8367004394531
17,196,1,1,Süddeutsche Immobilien-Gesellschaft Aktiengesellschaft. //,49.554908752441406,86.29725646972656
18,198,3,1,Schlesische Portland-Zement-Industrie Aktiengesellschaft. //,108.13265991210938,137.37266540527344
19,200,14,1,"„Adler“ Deutsche Portland-Cement-Fabrik, Act.-Ges. //",546.0916137695312,590.5548706054688
20,203,38,10,erwarten. Giroverbindlichkeiten bei Wechseln bestanden am 31. Dezember 1933 nicht. Eigene Akzepte sind nicht im Umlauf. Triptis-Aktiengesellschaft.,379.4482116699219,394.6197204589844
21,205,10,2,Armaturen- u. Maschinenfabrik Aktiengesellschaft // vorm. J. A. Hilpert.,435.4513854980469,451.3573303222656
22,207,11,1,Saline und Soolbad Salzungen. ,398.3187255859375,416.8927001953125
23,209,3,3,Süddeutsche Bodencredithank  (bis 17./7.1934: Mitteldeutsche Bodenkredit-Anstalt in Greiz).,241.9313201904297,255.85971069335938
24,214,3,1,Süddeutsche Bodencreditbank (frühere Gesellschaft). //,236.96591186523438,279.814208984375
25,215,13,1,"J. Banning, Aktiengesellschaft. ",574.4874877929688,590.2667236328125
26,217,3,1,Vorwohler Portland-Cement-Fabrik Akt-Ges. ,301.0560607910156,317.5362854003906
27,219,3,1,Dittmaim-Neuhaus & Gahriel-Bergenthal Aktiengesellschaft. //,138.6466827392578,162.0774383544922
28,220,38,1,Deutsche Erdöl-Aktiengesellschaft. ,607.5538940429688,625.5538940429688
29,223,33,1,Deutscher Metallhandel Aktiengesellschaft. ,463.6285400390625,483.37677001953125
30,225,3,1,Actiengesellschaft Norddeutsche Steingutfabrik. //,151.25645446777344,206.05471801757812
31,226,29,2,Königstadt Aktien-Gesellschaft für Grundstücke und Industrie in Berlin. ,596.725341796875,612.5997314453125
32,228,28,3,Sächsisch-Thüringische Portland-Cement-Fabrik  Prüssing u. Co. Aktiengesellschaft.,540.2291259765625,557.0217895507812
33,231,3,1,"Dommitzscher Tonwerke, Aktiengesellschaft. ",105.25279998779297,121.68447875976562
34,232,30,1,Vereinigte Berliner Mörtelwerke. ,394.3348083496094,411.9642333984375
35,234,4,1,Teutonia Misburger Portland-Cementwerk.,395.5012512207031,412.3175964355469
36,236,1,1,Portland-Cementwerke Höxter-Godelheim A.-G. ,55.26566696166992,73.51395416259766
37,237,27,2,Actien-Gesellschaft der Gerresheimer Glashüttenwerke vorm. Ferd. Heye.,423.7095947265625,439.39373779296875
38,239,4,3,"Almawerk, Schamotte- und Tonwarenfabrik  Aktiengesellschaft vorm. J. R. Geith.",428.9876403808594,442.7352600097656
39,241,26,2,"Vereinigte Portland-Zement- und Kalkwerke Schimischow, Silesia und Frauendorf Aktiengesellschaft. ",448.4772644042969,468.556884765625
40,243,1,1,Deutsche Ton- & Steinzeug-Werke Aktiengesellschaft. //,43.52720642089844,84.18412780761719
41,246,3,1,Basalt-Actien-Gesellschaft. ,112.0285415649414,127.17185974121094
42,249,11,10,Vereinigte Stahlwerke Aktiengesellschaft. (Neue Ges.) //  (bis29./11.1933: Gelsenkirchener Bergwerks-Aktiengesellschaft),318.1260681152344,337.0201416015625
43,257,5,1,Braunschweigische Maschinenbau-Anstalt. ,596.8204956054688,616.1176147460938
44,259,11,1,Porzellanfabrik zu Kloster-Veilsdorf. ,502.7962951660156,520.7403564453125
45,262,1,1,Porzellanfabrik Kahla. ,63.50101852416992,79.72411346435547
46,264,10,2,Vereinigte Mosaik- und Wandplattenwerke Aktiengesellschaft (Friedland-Sinzig-Ehrang). ,532.54345703125,547.127685546875
47,266,10,1,"Kollmar & Jourdan,",391.66070556640625,410.4431457519531
