US Company,TFR-500_link_type,TFR-500,Tenenbaum_link_type,Tenenbaum,Moodys 32_link_type,Moodys 32,Moodys 34_link_type,Moodys 34,HB 32_link_type,HB 32,HB 34_link_type,HB 34,HB GmbH_link_type,HB GmbH
Addressograph-Multigraph Corporation,USO,True,USO,True,USO,True,USO,True,,False,,False,USO,True
Aeolian Company,,False,,False,,False,,False,,False,,False,USO,True
Agfa-Ansco Corporation,,False,,False,,False,,False,,False,,False,DEO,True
Alta United Mines Co.,,False,,False,,False,Others,True,,False,,False,,False
Aluminum Company of America,,False,,False,,False,USC,True,,False,,False,,False
Amber Mines Inc.,,False,DEO,True,,False,,False,,False,,False,,False
American -Austrian Magnesite Corporation,USO,True,,False,,False,,False,,False,,False,,False
American Askania Corp.,,False,DEO,True,,False,,False,,False,,False,,False
American Bemberg Corp.,,False,,False,DEO,True,DEO,True,,False,,False,,False
American Can Company,,False,,False,USC,True,USC,True,,False,,False,,False
American Cyanamid Company,USO,True,,False,,False,,False,,False,,False,,False
American Foreign Insurance Association,USO,True,,False,,False,,False,,False,,False,,False
American I. G. Chemical Corp.,,False,DEO,True,,False,DEO,True,,False,,False,,False
"American Lurgi Company, New York",,False,DEO,True,,False,,False,,False,,False,,False
American Miag Corporation,,False,DEO,True,,False,,False,,False,,False,,False
"American News Company, Inc.",,False,,False,,False,,False,,False,,False,USC,True
American Nickel Alloy Mfg. Corp.,USO,True,,False,,False,,False,,False,,False,,False
American Oil Company,,False,,False,,False,,False,,False,,False,USO,True
American Radiator & Standard Sanitary Corporation,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
American Ship & Commerce Corp.,,False,USOP,True,,False,Others,True,,False,,False,,False
American-Austrian Magnesite Corporation,USO,True,,False,,False,,False,,False,,False,,False
Arden Investing Co.,USO,True,,False,,False,,False,,False,,False,,False
"Aris Cloves Co., Inc.",USO,True,,False,,False,,False,,False,,False,,False
Armour & Company,USO,True,,False,,False,,False,,False,,False,,False
Associated Merchandising Corporation,USO,True,,False,,False,,False,,False,,False,,False
Associated Press,USO,True,,False,,False,,False,,False,,False,,False
"B. F. Goodrich Rubber Co., Akron, Ohio",,False,USO,True,,False,,False,,False,,False,,False
Bakelite Corp.,,False,,False,,False,USO,True,,False,,False,USO,True
Bausch & Lomb Optical Co.,,False,,False,,False,USC,True,,False,,False,USO,True
Bavarian oil and Gas Corporation,USO,True,,False,,False,,False,USO,True,USO,True,,False
Bedford Construction Co.,USO,True,,False,,False,,False,,False,,False,,False
"Berth, Levi & Co. Inc.",USO,True,,False,,False,,False,,False,,False,,False
Blaw-Knox Co.,,False,,False,USC,True,USC,True,,False,,False,USO,True
Brown Harrimann & Company Incorporated,,False,,False,,False,,False,,False,USOP,True,,False
Buffalo Electro-Chemical Co.,,False,,False,USC,True,USC,True,,False,,False,,False
Burroughs Adding Machine Company,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
Butler Brothers,USC,True,,False,,False,,False,,False,,False,USO,True
Carnation Co.,,False,,False,Others,True,,False,,False,,False,,False
Carrier Corporation,,False,,False,USC,True,,False,,False,,False,,False
