German subsidiary,TFR-500_link_type,TFR-500_org_type,TFR-500,Tenenbaum_link_type,Tenenbaum_org_type,Tenenbaum,Moodys 32_link_type,Moodys 32_org_type,Moodys 32,Moodys 34_link_type,Moodys 34_org_type,Moodys 34,IDed in HB 32_link_type,IDed in HB 32_org_type,IDed in HB 32,IDed in HB 34_link_type,IDed in HB 34_org_type,IDed in HB 34,IDed in HB GmbH_link_type,IDed in HB GmbH_org_type,IDed in HB GmbH
"""Borvisk"" Kunstseiden A. G.",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"""Borvisk"" Kunstseiden-Vertriebsgesellschaft, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"""Debag"" Betriebstoff A.G.",,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
"""Dom"" Finanz A. G. für chemische Unternehmenungen",,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
"""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"""Rustica"" A.G. fuer Grunderwerb",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"""Volta"" Telephon & Signalbau G.m.b.H.",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"A. B. P. Gefolgschoftsheime, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
A. S. Hinds AG,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
A.G. vormals Seidel and Neumann,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
ARMCO Eisen G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Actien-Bierbrauerei,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Adam Opel Aktiengesellschaft,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,,,False
Addressograph-Multigraph G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,USO,GmbH,True
Adrema Maschinenebau G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Aeolian Company,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Agfa Photo Gesellschaft,,,False,,,False,,,False,,,False,,,False,,,False,DEO,GmbH,True
"Ahr, Krath and Co.",USC,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Akt.-Ges. für Erwerb und Verwaltung von Grundbesitz,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
"Aktien-Malsfabrik Landsburg, A. G.",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Aktiengesellschaft fuer Anlagewerte,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)",,,False,,,False,USO,AG,True,,,False,,,False,,,False,,,False
Aktiengesellsehaft für Konzessionsunternehmen,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
"Alex. Zink, Filzfabrik, Akt.-Ges.",,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Allgemeine Automobil-Versicherungs-Aktiengesellschaft,,,False,,,False,,,False,,,False,USOP,AG,True,,,False,,,False
Allgemeine Elektricitäts-Gesellschaft,,,False,USO,AG,True,USOP,AG,True,USO,AG,True,USOP,AG,True,USO,AG,True,,,False
"Allgemeine Erdol Gesellschaft, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Allgemeine Finanzierungs Gesellschaft m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
"Allgemeine Oel-Handels, GmbH. (Oelhag)",USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Allgemeine Transportmittel Aktiengesellschaft,,,False,USO,AG,True,,,False,USO,AG,True,USOP,AG,True,USOP,AG,True,,,False
"Almco Waschereimaschinen, GmbH",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Alpenminen A. G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Ambi-Budd Presswerk, G.m.b.H.",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
American Express Company mit Beschrankter Haftung,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
American News Company,,,False,,,False,,,False,,,False,,,False,,,False,USC,GmbH,True
American Oil Company,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Amira Akt.-Ges.,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Anhaltische Kohlenwerke,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Anker Kohlen & Brikettwerke G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Artus Hanse Transport G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Askania Werke A. G.,,,False,DEO,AG,True,,,False,,,False,,,False,,,False,,,False
Associated Merchandising Corp. GmbH,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Associated Press,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Atreco Oel-Handels GmbH.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
August Thyssen-Bank Akt.-Ges.,,,False,,,False,,,False,,,False,USOP,AG,True,,,False,,,False
B.K.S. Handelsgesellschaft m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Bakelite Gesellschaft,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,USO,GmbH,True
"Baruta Import and Export, GmbH",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Bates Maschinen GmbH,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Bausch & Lomb Optical Co.,,,False,,,False,,,False,USC,GmbH,True,,,False,,,False,USO,GmbH,True
Bayerische Mineral Industrie AG,USO,AG,True,,,False,,,False,,,False,USO,AG,True,USO,AG,True,,,False
Bayerische Reisszeugfabrik AG,USO,AG,True,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Bekleidungs-Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Belton A.G.,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Bergwerkgesellschaft Georg von Giesche's Erben,,,False,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
"Berlin-Oberschoeneweide, Germany",,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Berliner Kraft- und Licht-Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,USOP,AG,True,,,False
Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG),,,False,,,False,,,False,,,False,USC,AG,True,USOP,AG,True,,,False
Berliner Telephonie AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Bernauer & Co.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Bernhoeft & Wilde,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Betz & Jay, GmbH",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Billeter & Klunz, Aktiengesellschaft",,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Blaw-Knox,,,False,,,False,USC,GmbH,True,USC,GmbH,True,,,False,,,False,USO,GmbH,True
"Born, Mehring & Co, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Boston Blacking Company G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Branch-Dr. Deimel's Maschenleinen-Fabrik-(Deimel Linen-Mesh System Co. U.S.A.),USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Brankaer Eisenwerke,USO,AG,True,,,False,USO,AG,True,USO,AG,True,,,False,,,False,,,False
British-American Tobacco (Deutschland) G.m.b.H. ,,,False,USOP,GmbH,True,,,False,,,False,,,False,,,False,,,False
Bronzefarbenwerke A.-G. vorm. Carl Schlenk,,,False,,,False,,,False,,,False,USOP,AG,True,,,False,,,False
