German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),other sources,notes,Vol,location,date,capital,business,persons,type
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Breslau, Wallstr. 1",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Curt Voigt; Emil Steffen,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Dresden, Christianstr. 27",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,M. Gustav Vogel,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Düsseldorf, Haroldstr. 17",8.6.25,RM 5000,Vertrieb von Photoartikeln der A. G. für Anilin-Fabrikation,Hans Grieb; Richard Häusgen,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Frankfurt a. M., Seilerstr. 26",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G. in Ludwigshafen,Wilhelm Stanigel,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Hamburg, Grindelallee 43",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,G. Philipp Knoch; R. A. F. Robert Rödiger,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Hannover, Lavesstr. 54",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Walter Barrenscheen,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Köln, Hohenstaufenring 66",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Kurt Wisniewski,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25",Königsberg i. Pr.,23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Carl Drognitz,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Leipzig, Kreuzstr. 2",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Otto Oertel; Kurt Habersang,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","München, Barerstr. 15",16.9.25,RM 5000,Vertrieb von Photoartikeln der A. G. für Anilinfabrikation,Heinr. Wiedenmann,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25",Stettin,23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie AG,Alfred Richter,1 Gf.
