German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Description
,Central American Plantations Corp.,Others,Others,CENTRAL AMERICAN PLANTATIONS CORP.,,"An officer is based in Hamburg, Germany. No subsidiary or agreements are mentioned."
Carrier Lufttechnische Gesellschaft,Carrier Corporation,USC,GmbH,CARRIER CORPORATION,Carrier Lufttechnische Gesellschaft,"""Plants and laboratories of its subsidiaries and affiliates are located in Newark, N. J.; Bridgeport, Pa.; New Brunswick, N. J.; Allentown, Pa.: Chicago, Ill.; London, Eng.; Stuttgart, Germany; Tokio, Japan. "" ""Affiliated companies: ..., Carrier Lufttechnische Gesellschaft, Berlin, Germany, ..."""
,Carnation Co.,Others,Others,CARNATION CO.,,"""Owns a majority (65%) of the stock of General Milk Co. Inc., which is engaged in export business, and owns and operates four condenseries located In France, Holland and Germany, and operates can factories in France, Holland and Germany.""; the company lists out all the sibsidiaries in the US, but none abroad"
,Celotex Co.,Others,Others,CELOTEX CO. (THE),,"""Company supplies over 7,000 retail dealers and operates divisional sales offices in principal cities of the U. S. Sales offices are also maintained in England, Australia, Canada, Argentina, Japan, Germany and Italy."""
,Hugo Stinnes Corporation,USO,Others,HUGO STINNES CORP.,,"Substantially all of the properties are located in Germany, with exception of certain coal terminal and distributing faculties in Holland, Belgium, Denmark, Sweden and Italy and timber lands in Sweden."
Hugo Stinnes G.m.b.H.,"Hugo Stinnes Industries, Inc.",USO,GmbH,"HUGO STINNES INDUSTRIES, INC.",Hugo Stinnes G. m. b. H.,
Rheinische-Westfaelische Bergwerks Gesellschaft,"Hugo Stinnes Industries, Inc.",USO,GmbH,"HUGO STINNES INDUSTRIES, INC.",Rheinische-Westfaelische Bergwerks Gesellschaft,
Reece Machinery Company,The International Button Hole Sewing Machine Company,USC,GmbH,INTERNATIONAL BUTTON-HOLE SEWINO MACHINE CO,Reece Machinery Co. G.m.b.H.,"INTERNATIONAL BUTTON-HOLE SEWINO MACHINE CO.: Incorporated in Maine, May 18,1882. Owns foreign patents for Reece button-hole machinery, with agendas in Italy, Australia, New Zealand, Cuba, South America, Japan and South Africa. Also represented in England by Reece Machinery Co., Ltd.; in France by Reece Machineiy Co. (France); in Germany by Reece Machinery Co. G.M.B.H.; and in Canada by Reece Machinery Co. of Canada, Ltd. Entire capital stock of these companies is owned by the company. During latter part of 1931 company became exclusive agents in all countries other than Canada and the United States for the entire line of Union Button Sewing Machine"
"Hobart Maschinen Gesellschaft, m.b.H.",The Hobart Manufacturing Company,USO,GmbH,HOBART MANUFACTURING CO.,"Hobart Gesellschaft, Hamburg, Germany","""Other subsidiaries include Compagnie Internationale Hobart, Paris, France, manufacturing plant, and Hobart Gesellschaft, Hamburg, Germany. """
,Heyden Chemical Corp.,USC,Others,HEYDEN CHEMICAL CORP.,,"""Company has exclusive right in United States and Canada, of all patents, trade names, and processes of Chemische Fabrik Von Heyden of Germany"""
