German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Description
"Th. Goldschmidt of Essen, Germany",American Can Company,USC,Others,AMERICAN CAN COMPANY,"Th. Goldschmidt of Essen, Germany","Vol 1, p. 176","Incorporated under the laws of New Jersey March 19, 1901, as a consolidation of leading tin can factories in the United States. In March 1908, acquired an interest in Sanitary Can Co. and, with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output. In August 1926, acquired property of Central Bag Mfg. Co. Owns the entire capital stock of American Can Co. of Delaware (acquired January 1915). The American Can Co. of Utah (incorporated March 1916) was dissolved and its assets taken over by the present company January 1, 1928."
Metal & Thermit Corporation,American Can Company,USC,Others,AMERICAN CAN COMPANY,Metal & Thermit Corporation,"Vol 1, p. 176","Incorporated under the laws of New Jersey March 19, 1901, as a consolidation of leading tin can factories in the United States. In March 1908, acquired an interest in Sanitary Can Co. and, with Th. Goldschmidt of Essen, Germany, organized Goldschmidt Detinning Co. (now Metal & Thermit Corporation) to operate a plant for detinning scrap, to which American Can Co. contracted to sell its scrap output. In August 1926, acquired property of Central Bag Mfg. Co. Owns the entire capital stock of American Can Co. of Delaware (acquired January 1915). The American Can Co. of Utah (incorporated March 1916) was dissolved and its assets taken over by the present company January 1, 1928."
Addressograph-Multigraph G.m.b.H.,Addressograph-Multigraph Corporation,USO,GmbH,ADDRESSOGRAPH-MULTIGRAPH CORP.,"Addressograph-Multigraph G.m.b.H., Berlin, Germany","Vol 1, p. 305","German subsidiary which are subject to exchange restrictions amounted to $220,398. Accounts certified by Arthur Andersen & Co. $26,194 capitalized during construction period. Included in sales profit. Earned Surplus Account Balance, Dec. 31, 1932, $2,951,107; add: increase in net current assets of foreign subsidiaries arising from conversion to dollar basis at rate of par, $168,469; cancellation of reserve for amortization of domestic patents, $40,360; total, $3,646,822; deduct: net loss for year, $332,499; deferred development expense written off, $529,643; miscellaneous patent rights written off, $11,351; provision for inventory obsolescence, $50,000; provision for bad debts, $100,000; dividends paid, $187,109; balance, Dec. 31, 1933, $2,386,220. Balance Sheet notes: After depreciation: 1933, $2,078,763; 1933, $2,516,386. Represented by shares at stated values: 1933, 746,813. Reduced to approximate assessed values in 1933; at book value in 1932. Less reserve, $33,394. Contingent Liability, Dec. 31, 1933, $1,583 for customers' notes discounted. Notes: Included in statement for 1933 are current assets ($1,937,769) and current liabilities ($1,174,814) of foreign subsidiaries converted on basis of par-of-exchange which was lower than rate prevailing at Dec. 31, 1933. Net current assets of foreign subsidiaries amounted to $762,955."
,"Fownes Brothers & Co., Inc.",Others,Others,"Fownes Brothers & Co., Inc.",,"Vol 1, p. 351","Accounts certified by Patterson, Teele & Dennis. Bonded Debt: Secured by a first mortgage upon all fixed assets, including patents, etc., and two modern factories located at Amsterdam and Gloversville, N. Y. Company covenants to maintain at all times net quick assets equal to at least 50% of bonds outstanding. Issued to pay in part for the purchase of the American branch of the co-partnership sold to corporation. Issued, $500,000, of which $403,500 retired to Dec. 31, 1933. Pennsylvania State personal tax not exceeding four mills refunded. Company pays normal Federal income tax up to 2%. Capital Stock (8% preferred): Authorized, $59,400; outstanding, $4,000; par $100. Has first preference as to assets and dividends. Callable at par at any time on 30 days' notice. Last dividend paid Dec. 1, 1923. Company recapitalized in Sept. 1924, at which time $1,197,100 of 8% preferred was cancelled and a like amount of 5% non-cum. preferred issued. Accrued dividends unpaid amounted to $3,227, Dec. 31, 1933. Capital Stock (5% non-cum. preferred): Authorized, $1,440,600; outstanding, $1,192,100; par $100. Has second preference as to assets after 8% cum. preferred and 50% participation in remaining assets after common receives $100 per share. Not callable, but may be purchased from time to time. Unchanged for a like amount of 8% cum. preferred. No dividends paid. Capital Stock (common): Authorized and outstanding, 10,000 shares; no par. No dividends paid."
,Davega Stores Corp.,Others,Others,Davega Stores Corp.,None,"Vol 1, p. 375","Incorporated in Delaware on June 12, 1928, as Atlas Stores Corp., and changed name to Davega Stores Corp. on April 27, 1932. The company acquired various other companies between 1928 and 1929, including Serlin & Co., Capital Radio Co. of Detroit, H. Lasser & Co., Cleveland, Davega, Inc., and City Radio Stores, Inc. Through its subsidiaries, it merchandises radio sets, accessories, sporting goods, electrical supplies, cameras, photographic equipment, and supplies. It operates retail stores in New York and Newark, and wholesale/mail order departments in New York and Chicago. Retail operations in Chicago were discontinued in 1933. In 1932, the company sold its interests in Cleveland, Cincinnati, and Detroit stores. In August 1932, Retails Stores Corp. was organized to reduce excess working capital. As of April 22, 1932, the company had about 1,000 employees."
,Alta United Mines Co.,Others,Others,ALTA UNITED MINES CO.,None,"Vol 1, p. 393","Incorporated in Utah. Owns property and interests in 34 separate companies, including Alta Germania. Operates in Big Cottonwood, Little Cottonwood, and American Fork mining districts, Utah. Properties include 184 lode mining claims (approx. 3,100 acres) and 9,100 shares of Alta Champion Mining Co. As of April 1, 1934, it had 6 employees."
,Markt & Hammacher Co.,Others,Others,MARKT & HAMMACHER CO.,,"Vol 1, p. 404","Incorporated December 18, 1908, under New Jersey laws, as a consolidation of Markt & Co., Ltd., and Hammacher, Dellius & Co. Founded in 1864, the company conducts a general export business worldwide through subsidiary and affiliated companies and branch houses. Principal commodities include tools, hardware, and machinery. Its office and warehouse are located at 193-195 West Street, New York. It maintains branches in London, Paris, Brussels, Amsterdam, Hamburg, Copenhagen, Oslo, Zurich, Milan, Genoa, and Lisbon, and operates agencies in other principal towns in Europe. M. J. Pulvermann, associated with Hamburg, Germany, is listed among its officers. The annual meeting is held on the third Wednesday in January in Hoboken, N. J."
,Penton Publishing Co.,Others,Others,Penton Publishing Co. (THE),,"Vol 1, p. 405","Incorporated in 1904 under Ohio laws, Fenton Publishing Co. publishes business and technical journals. It has subsidiaries including The Johnson Publishing Co. and The Fenton Publishing Co. Ltd. (London). The company owns property in Cleveland and maintains offices in various US cities, London, Birmingham, Paris, and Berlin, Germany. As of December 31, 1938, it had 188 employees."
Bakelite Gesellschaft,Bakelite Corp.,USO,GmbH,BAKELITE CORP.,Gorman Bakelite Corp. (Bakelite Gesellschaft),"Vol 1, p. 406","Incorporated in Delaware Mar. 1922. Controls General Bakelite Co., Condensite Co. of America, Bakelite Corp. of W. Va. and Halowax Corp. Also owns an interest in German Bakelite Corp. (Bakelite Gesellschaft), Germany; Bakelite Corp. of Canada; Bakelite, Ltd., England, and Societa Italiana Bakelite, Italy."
Bausch & Lomb Optical Co.,Bausch & Lomb Optical Co.,USC,GmbH,BAUSCH & LOMB OPTICAL CO.,"Bausch & Lomb Optical Co., G.m.b.H., Frankfort a. M., Germany","Vol 1, p. 407","Incorporated March 28, 1908, in New York, established 1853. Manufactures optical products including eyeglasses, microscopes, and lenses. Plant in Rochester, NY, with branches in New York and Chicago. Bonded debt is $1,400,000 (closely held). Capital stock includes $3,150,000 preferred (par $100, closely held) and $5,000,000 common (par $100, no close corporation). Stock transferred at company's office. Annual meeting is the Fourth Tuesday in March."
